x,y,z,ts
-0.065,0.018,-0.088,4353562.002
-0.078,0.021,-0.088,4353562.004
-0.083,0.024,-0.089,4353562.006
-0.084,0.027,-0.092,4353562.008
-0.08,0.031,-0.093,4353562.010
-0.073,0.033,-0.092,4353562.012
-0.063,0.033,-0.091,4353562.014
-0.053,0.034,-0.09,4353562.016
-0.042,0.033,-0.088,4353562.018
-0.03,0.03,-0.089,4353562.020
-0.017,0.024,-0.09,4353562.022
-0.002,0.019,-0.091,4353562.024
0.017,0.013,-0.094,4353562.026
0.038,0.006,-0.095,4353562.028
0.06,0.001,-0.093,4353562.030
0.084,-0.006,-0.093,4353562.032
0.106,-0.011,-0.091,4353562.034
0.127,-0.017,-0.09,4353562.036
0.139,-0.023,-0.09,4353562.038
0.141,-0.027,-0.088,4353562.040
0.141,-0.029,-0.087,4353562.042
0.133,-0.028,-0.084,4353562.044
0.12,-0.026,-0.082,4353562.046
0.101,-0.024,-0.079,4353562.048
0.079,-0.02,-0.077,4353562.050
0.058,-0.015,-0.075,4353562.052
0.036,-0.012,-0.072,4353562.054
0.016,-0.008,-0.069,4353562.056
-0.003,-0.004,-0.066,4353562.058
-0.023,0.001,-0.061,4353562.060
-0.04,0.005,-0.056,4353562.062
-0.055,0.009,-0.052,4353562.064
-0.067,0.012,-0.048,4353562.066
-0.077,0.013,-0.043,4353562.068
-0.08,0.012,-0.037,4353562.070
-0.082,0.01,-0.032,4353562.072
-0.083,0.008,-0.028,4353562.074
-0.081,0.006,-0.025,4353562.076
-0.074,0.002,-0.022,4353562.078
-0.066,-0.002,-0.022,4353562.080
-0.056,-0.006,-0.021,4353562.082
-0.045,-0.009,-0.021,4353562.084
-0.033,-0.011,-0.022,4353562.086
-0.021,-0.011,-0.024,4353562.088
-0.009,-0.013,-0.024,4353562.090
0.001,-0.014,-0.025,4353562.092
0.006,-0.014,-0.026,4353562.094
0.009,-0.011,-0.027,4353562.096
0.008,-0.01,-0.025,4353562.098
0.009,-0.008,-0.022,4353562.100
0.011,-0.005,-0.019,4353562.102
0.014,-0.005,-0.014,4353562.104
0.015,-0.004,-0.009,4353562.106
0.016,-0.003,-0.005,4353562.108
0.017,-0.002,-0.003,4353562.110
0.019,-0.001,0.0,4353562.112
0.021,-0.001,0.003,4353562.114
0.023,-0.0,0.006,4353562.116
0.022,-0.0,0.009,4353562.118
0.022,-0.001,0.009,4353562.120
0.019,-0.002,0.009,4353562.122
0.019,-0.002,0.01,4353562.124
0.02,0.0,0.011,4353562.126
0.019,0.0,0.01,4353562.128
0.018,0.0,0.011,4353562.130
0.019,-0.0,0.013,4353562.132
0.018,-0.0,0.013,4353562.134
0.019,0.001,0.013,4353562.136
0.021,0.002,0.01,4353562.138
0.022,0.003,0.007,4353562.140
0.024,0.003,0.006,4353562.142
0.024,0.003,0.005,4353562.144
0.024,0.004,0.004,4353562.146
0.026,0.005,0.002,4353562.148
0.028,0.008,0.001,4353562.150
0.028,0.008,0.001,4353562.152
0.026,0.009,-0.002,4353562.154
0.025,0.009,-0.005,4353562.156
0.024,0.008,-0.007,4353562.158
0.024,0.009,-0.01,4353562.160
0.023,0.009,-0.012,4353562.162
0.022,0.008,-0.017,4353562.164
0.021,0.006,-0.02,4353562.166
0.018,0.004,-0.025,4353562.168
0.019,0.004,-0.028,4353562.170
0.02,0.004,-0.03,4353562.172
0.018,0.002,-0.033,4353562.174
0.015,0.002,-0.036,4353562.176
0.011,0.004,-0.037,4353562.178
0.008,0.006,-0.037,4353562.180
0.003,0.009,-0.039,4353562.182
-0.0,0.01,-0.041,4353562.184
-0.003,0.008,-0.042,4353562.186
-0.004,0.007,-0.041,4353562.188
-0.006,0.006,-0.04,4353562.190
-0.007,0.006,-0.041,4353562.192
-0.007,0.004,-0.041,4353562.194
-0.005,0.003,-0.04,4353562.196
-0.002,0.001,-0.038,4353562.198
0.0,-0.001,-0.036,4353562.200
0.002,-0.002,-0.035,4353562.202
0.002,-0.002,-0.034,4353562.204
0.001,-0.003,-0.031,4353562.206
0.001,-0.002,-0.03,4353562.208
0.003,-0.003,-0.029,4353562.210
0.002,-0.004,-0.029,4353562.212
-0.0,-0.005,-0.028,4353562.214
-0.002,-0.007,-0.027,4353562.216
-0.005,-0.006,-0.025,4353562.218
-0.009,-0.005,-0.023,4353562.220
-0.014,-0.004,-0.021,4353562.222
-0.018,-0.003,-0.02,4353562.224
-0.019,-0.002,-0.018,4353562.226
-0.02,-0.002,-0.017,4353562.228
-0.022,-0.003,-0.016,4353562.230
-0.023,-0.004,-0.015,4353562.232
-0.022,-0.006,-0.014,4353562.234
-0.019,-0.007,-0.013,4353562.236
-0.017,-0.008,-0.012,4353562.238
-0.014,-0.009,-0.012,4353562.240
-0.012,-0.009,-0.012,4353562.242
-0.011,-0.008,-0.011,4353562.244
-0.011,-0.007,-0.012,4353562.246
-0.013,-0.007,-0.012,4353562.248
-0.015,-0.007,-0.013,4353562.250
-0.016,-0.009,-0.013,4353562.252
-0.017,-0.009,-0.013,4353562.254
-0.016,-0.008,-0.014,4353562.256
-0.014,-0.008,-0.015,4353562.258
-0.011,-0.007,-0.013,4353562.260
-0.01,-0.007,-0.013,4353562.262
-0.009,-0.008,-0.013,4353562.264
-0.007,-0.009,-0.014,4353562.266
-0.001,-0.011,-0.018,4353562.268
0.009,-0.015,-0.021,4353562.270
0.021,-0.015,-0.022,4353562.272
0.03,-0.012,-0.02,4353562.275
0.031,-0.001,-0.013,4353562.277
0.016,0.011,-0.008,4353562.279
-0.004,0.018,-0.004,4353562.281
-0.017,0.02,-0.004,4353562.283
-0.022,0.018,-0.005,4353562.285
-0.024,0.014,-0.009,4353562.287
-0.024,0.004,-0.011,4353562.289
-0.026,-0.006,-0.013,4353562.292
-0.025,-0.011,-0.015,4353562.294
-0.018,-0.012,-0.017,4353562.296
-0.008,-0.01,-0.015,4353562.298
