x,y,z,ts
2.543,-33.697,55.395,5646460.001
2.391,-33.743,55.531,5646460.003
2.27,-33.78,55.64,5646460.005
2.173,-33.809,55.726,5646460.007
2.381,-33.976,55.796,5646460.009
2.548,-34.109,55.852,5646460.012
2.681,-34.216,55.896,5646460.014
2.788,-34.301,55.932,5646460.016
2.873,-34.369,55.96,5646460.018
2.941,-34.138,55.575,5646460.020
2.996,-33.953,55.267,5646460.022
3.04,-33.805,55.021,5646460.024
3.075,-33.687,54.824,5646460.026
3.102,-33.592,54.666,5646460.028
3.125,-33.659,54.54,5646460.030
3.143,-33.713,54.439,5646460.032
3.157,-33.756,54.358,5646460.034
3.168,-33.79,54.294,5646460.036
3.178,-33.818,54.242,5646460.038
3.328,-33.84,54.201,5646460.040
3.448,-33.857,54.167,5646460.042
3.544,-33.872,54.141,5646460.044
3.621,-33.883,54.12,5646460.046
3.54,-34.035,54.103,5646460.048
3.475,-34.156,54.633,5646460.050
3.422,-34.253,55.057,5646460.052
3.381,-34.331,55.397,5646460.054
3.347,-34.393,55.668,5646460.057
3.178,-34.3,55.613,5646460.059
3.042,-34.226,55.57,5646460.061
2.934,-34.166,55.535,5646460.063
2.847,-34.118,55.507,5646460.065
2.778,-34.08,55.484,5646460.067
2.865,-33.907,55.33,5646460.069
2.935,-33.768,55.207,5646460.071
2.991,-33.657,55.109,5646460.073
3.035,-33.569,55.03,5646460.076
3.071,-33.498,54.967,5646460.078
2.814,-33.584,54.917,5646460.079
2.608,-33.652,54.876,5646460.081
2.444,-33.708,54.844,5646460.083
2.312,-33.752,54.818,5646460.085
2.207,-33.787,54.797,5646460.087
2.266,-33.815,55.053,5646460.090
2.312,-33.838,55.257,5646460.092
2.35,-33.856,55.421,5646460.094
2.38,-33.87,55.551,5646460.096
2.404,-33.882,55.656,5646460.098
2.566,-33.891,55.332,5646460.100
2.696,-33.898,55.072,5646460.102
2.799,-33.904,54.865,5646460.104
2.882,-33.909,54.699,5646460.106
2.949,-33.913,54.566,5646460.108
3.288,-34.059,54.324,5646460.110
3.559,-34.175,54.13,5646460.112
3.775,-34.269,53.975,5646460.114
3.949,-34.343,53.851,5646460.116
4.088,-34.403,53.752,5646460.118
3.913,-34.451,54.081,5646460.120
3.773,-34.489,54.343,5646460.122
3.661,-34.52,54.554,5646460.124
3.572,-34.544,54.722,5646460.126
3.5,-34.564,54.856,5646460.128
3.3,-34.294,54.964,5646460.130
3.14,-34.078,55.05,5646460.132
3.012,-33.905,55.119,5646460.134
2.91,-33.767,55.174,5646460.136
2.828,-33.656,55.218,5646460.138
2.905,-33.568,55.118,5646460.140
2.967,-33.497,55.037,5646460.142
