rssi,ts,anchor
-69,5646610.0122292,1011110001
-74,5646610.0234993,1011110007
-45,5646610.4406357,1011110002
-76,5646610.9149275,1011110005
-69,5646611.5455270,1011110003
-64,5646613.0204804,1011110004
-78,5646613.0417168,1011110001
-71,5646613.0503418,1011110007
-52,5646613.4834695,1011110002
-62,5646614.0743723,1011110003
-61,5646617.1006866,1011110003
-43,5646617.5226724,1011110002
-66,5646618.5615814,1011110004
-66,5646618.5946505,1011110001
-71,5646619.1009295,1011110001
-50,5646619.5458224,1011110002
-57,5646621.1454875,1011110003
-69,5646622.0745339,1011110002
-62,5646622.1402547,1011110007
-53,5646622.1590056,1011110003
-62,5646623.5248666,1011110005
-63,5646624.1403761,1011110001
-79,5646624.6958964,1011110034
-72,5646625.4628384,1011110035
-70,5646625.5306702,1011110005
-69,5646625.6572628,1011110001
-59,5646625.6877627,1011110003
-69,5646626.1266279,1011110002
-48,5646626.6742458,1011110007
-56,5646629.6734960,1011110004
-59,5646629.6956685,1011110007
-72,5646629.7241926,1011110003
-55,5646630.0572734,1011110005
-52,5646632.1265645,1011110006
-56,5646633.2216694,1011110007
-71,5646633.2418449,1011110003
-72,5646633.7468560,1011110011
-58,5646634.6445832,1011110006
-69,5646634.6481795,1011110009
-69,5646635.9725175,1011120003
-72,5646636.0228801,1011110019
-68,5646636.4133356,1011120001
-70,5646637.2608013,1011110013
-69,5646637.2862909,1011110011
-63,5646637.5265901,1011110010
-61,5646637.5869925,1011110035
-49,5646638.1708713,1011110009
-64,5646638.2725873,1011110007
-65,5646638.9677515,1011110014
-63,5646639.9020534,1011120001
-57,5646640.1112952,1011110035
-83,5646640.5542765,1011110010
-57,5646640.8616557,1011110034
-72,5646640.9144845,1011120002
-65,5646641.1017089,1011110033
-75,5646641.1382625,1011110019
-59,5646641.9462574,1011120001
-53,5646642.3322418,1011110011
-70,5646642.7270081,1011110009
-61,5646643.1319654,1011110035
-45,5646643.3751309,1011120001
-75,5646643.7467852,1011110009
-68,5646643.9829068,1011120003
-61,5646644.3145394,1011110013
-80,5646644.6054039,1011110015
-57,5646645.0887008,1011110010
-71,5646645.3982780,1011110032
-55,5646646.4083462,1011110034
-79,5646646.5504096,1011110014
-62,5646646.6245737,1011110015
-59,5646646.8573213,1011120003
-57,5646646.8643467,1011120002
-60,5646647.8830910,1011110011
-77,5646648.2630916,1011110006
-76,5646648.3380311,1011110021
-80,5646648.8930852,1011120001
-62,5646649.5628765,1011110019
-67,5646649.6283834,1011110010
-69,5646649.9415791,1011110020
-57,5646649.9546266,1011110034
-53,5646650.7118025,1011110033
-49,5646650.7560225,1011120003
-90,5646651.2484620,1011110018
-66,5646651.5906565,1011110014
-55,5646651.6773467,1011110015
-73,5646652.2617421,1011110018
-54,5646652.4162543,1011120003
-67,5646653.6021409,1011120006
-56,5646653.6157341,1011110014
-73,5646653.7223182,1011120005
-72,5646653.7354281,1011110035
-68,5646654.3959861,1011110021
-70,5646654.4201176,1011110013
-61,5646654.9082787,1011110019
-55,5646655.2623079,1011110033
-64,5646655.6287191,1011110014
-57,5646655.7316980,1011110019
-74,5646655.8516495,1011120001
-75,5646655.8832381,1011120003
-61,5646656.0117612,1011110032
-56,5646656.6704104,1011120006
-70,5646656.8532476,1011120004
-68,5646657.0312228,1011110034
-70,5646657.3869731,1011120005
-58,5646658.0257664,1011110020
-75,5646658.0859740,1011120004
-63,5646658.6204157,1011120005
-52,5646658.7958021,1011110019
-75,5646659.0030875,1011110031
-63,5646659.3324673,1011120006
-69,5646659.5547140,1011110034
-68,5646659.5804043,1011110016
-70,5646659.6728144,1011110014
-59,5646659.8553925,1011110018
-71,5646659.9372957,1011110021
-60,5646660.5483401,1011110032
-71,5646660.5731747,1011120001
-68,5646660.9066851,1011110029
-51,5646661.0717125,1011110020
-51,5646661.0822678,1011120005
-61,5646661.3906040,1011120006
-49,5646661.4432597,1011110019
-55,5646661.8234265,1011110033
-71,5646662.3708520,1011110026
-70,5646662.5534918,1011110031
-72,5646662.5707712,1011110024
-69,5646662.6954134,1011110014
-51,5646662.9588540,1011110021
-56,5646663.5804358,1011110032
-69,5646663.5908921,1011110034
-63,5646664.0579767,1011110031
-57,5646664.2543006,1011120006
-53,5646664.4732995,1011110021
-68,5646664.5041006,1011110013
-49,5646664.5814724,1011110032
-60,5646664.8547730,1011110033
-73,5646664.8850896,1011110030
-60,5646665.3166699,1011110023
-54,5646665.6249175,1011110020
-63,5646665.7344329,1011110019
-73,5646666.6048751,1011110024
-61,5646667.3784890,1011110033
-64,5646667.5803936,1011110031
-54,5646667.8431013,1011110023
-53,5646668.6178956,1011110032
-70,5646669.0079749,1011110019
-76,5646669.2790980,1011110029
-56,5646669.6407270,1011110024
-67,5646669.6644130,1011110020
-56,5646670.6325283,1011110032
-73,5646671.1329815,1011110029
-43,5646671.1621697,1011110024
-61,5646671.3715940,1011110023
-61,5646671.6009581,1011110031
-76,5646671.8857634,1011110019
-66,5646671.9659710,1011110026
-60,5646672.1809683,1011110020
-72,5646672.1845138,1011110034
-59,5646672.5467520,1011110021
-74,5646672.6517544,1011110028
