x,y,z,ts
0.052,0.021,0.986,4352450.002
0.052,0.021,0.987,4352450.004
0.052,0.02,0.985,4352450.005
0.051,0.02,0.985,4352450.007
0.052,0.018,0.985,4352450.009
0.051,0.019,0.985,4352450.011
0.05,0.02,0.986,4352450.013
0.048,0.02,0.988,4352450.015
0.047,0.021,0.988,4352450.017
0.047,0.02,0.99,4352450.019
0.046,0.021,0.989,4352450.021
0.046,0.02,0.988,4352450.023
0.046,0.02,0.99,4352450.025
0.044,0.02,0.988,4352450.027
0.044,0.02,0.989,4352450.029
0.043,0.017,0.987,4352450.031
0.042,0.016,0.986,4352450.033
0.041,0.015,0.983,4352450.035
0.041,0.016,0.982,4352450.036
0.041,0.017,0.983,4352450.038
0.041,0.018,0.982,4352450.040
0.04,0.018,0.985,4352450.042
0.039,0.019,0.987,4352450.044
0.04,0.019,0.99,4352450.046
0.041,0.018,0.99,4352450.048
0.041,0.019,0.986,4352450.050
0.042,0.021,0.988,4352450.051
0.042,0.021,0.99,4352450.053
0.042,0.021,0.99,4352450.055
0.043,0.022,0.99,4352450.057
0.042,0.021,0.988,4352450.058
0.042,0.021,0.986,4352450.060
0.043,0.022,0.987,4352450.062
0.042,0.025,0.988,4352450.064
0.041,0.024,0.987,4352450.066
0.041,0.022,0.987,4352450.067
0.04,0.021,0.988,4352450.069
0.039,0.022,0.99,4352450.071
0.037,0.022,0.987,4352450.073
0.037,0.02,0.985,4352450.074
0.036,0.021,0.985,4352450.076
0.037,0.021,0.984,4352450.078
0.036,0.02,0.989,4352450.080
0.036,0.019,0.988,4352450.081
0.038,0.019,0.988,4352450.084
0.038,0.018,0.986,4352450.086
0.039,0.018,0.985,4352450.088
0.038,0.018,0.987,4352450.089
0.038,0.017,0.987,4352450.091
0.039,0.018,0.989,4352450.093
0.04,0.019,0.99,4352450.095
0.04,0.022,0.988,4352450.097
0.041,0.022,0.988,4352450.098
0.039,0.021,0.987,4352450.100
0.039,0.021,0.987,4352450.102
0.04,0.021,0.988,4352450.104
0.041,0.021,0.988,4352450.106
0.041,0.018,0.989,4352450.107
0.043,0.02,0.988,4352450.109
0.044,0.022,0.99,4352450.111
0.045,0.021,0.99,4352450.113
0.043,0.021,0.99,4352450.115
0.043,0.021,0.99,4352450.116
0.043,0.02,0.989,4352450.118
0.043,0.02,0.99,4352450.120
0.044,0.019,0.989,4352450.122
0.047,0.019,0.987,4352450.124
0.047,0.016,0.985,4352450.125
0.049,0.015,0.987,4352450.127
0.049,0.015,0.987,4352450.129
0.049,0.013,0.987,4352450.131
0.05,0.013,0.987,4352450.133
0.051,0.012,0.987,4352450.135
0.052,0.011,0.988,4352450.137
0.051,0.012,0.987,4352450.139
0.05,0.011,0.986,4352450.141
0.049,0.01,0.988,4352450.143
0.048,0.009,0.988,4352450.145
0.049,0.009,0.988,4352450.146
0.049,0.009,0.99,4352450.148
0.048,0.008,0.99,4352450.151
0.048,0.007,0.989,4352450.153
0.047,0.009,0.987,4352450.155
0.047,0.008,0.984,4352450.156
0.048,0.009,0.985,4352450.158
0.048,0.008,0.985,4352450.160
0.049,0.008,0.987,4352450.162
0.05,0.008,0.986,4352450.164
0.051,0.007,0.985,4352450.166
0.05,0.006,0.984,4352450.168
0.049,0.005,0.986,4352450.170
0.049,0.004,0.988,4352450.172
0.05,0.004,0.987,4352450.174
0.049,0.005,0.987,4352450.176
0.047,0.006,0.988,4352450.178
0.048,0.007,0.99,4352450.180
0.049,0.007,0.988,4352450.182
0.047,0.006,0.988,4352450.184
0.047,0.006,0.99,4352450.186
0.047,0.006,0.99,4352450.188
0.048,0.005,0.991,4352450.190
0.048,0.007,0.989,4352450.192
0.049,0.008,0.988,4352450.194
0.05,0.008,0.99,4352450.196
0.049,0.007,0.989,4352450.198
0.049,0.005,0.99,4352450.200
0.048,0.007,0.989,4352450.202
0.047,0.005,0.988,4352450.204
0.047,0.007,0.986,4352450.206
0.048,0.008,0.984,4352450.208
0.048,0.01,0.985,4352450.210
0.046,0.011,0.987,4352450.212
0.046,0.011,0.987,4352450.214
0.047,0.011,0.987,4352450.216
0.045,0.012,0.987,4352450.218
0.045,0.01,0.987,4352450.220
0.044,0.01,0.987,4352450.222
0.044,0.011,0.988,4352450.224
0.044,0.011,0.988,4352450.226
0.046,0.012,0.985,4352450.227
0.045,0.013,0.986,4352450.230
0.044,0.014,0.988,4352450.232
0.045,0.014,0.988,4352450.233
0.045,0.014,0.986,4352450.235
0.046,0.015,0.986,4352450.237
0.047,0.016,0.986,4352450.239
0.045,0.016,0.985,4352450.241
0.045,0.017,0.988,4352450.243
0.044,0.016,0.988,4352450.245
0.044,0.016,0.989,4352450.247
0.046,0.017,0.987,4352450.249
0.046,0.017,0.987,4352450.251
0.046,0.017,0.987,4352450.253
0.045,0.018,0.987,4352450.255
0.044,0.019,0.987,4352450.257
0.044,0.02,0.986,4352450.259
0.044,0.02,0.99,4352450.261
0.045,0.021,0.987,4352450.263
0.046,0.022,0.987,4352450.265
0.044,0.021,0.988,4352450.267
0.045,0.02,0.986,4352450.269
0.046,0.021,0.985,4352450.271
0.047,0.022,0.986,4352450.273
0.046,0.023,0.986,4352450.275
0.045,0.022,0.986,4352450.277
0.045,0.022,0.986,4352450.279
0.045,0.022,0.987,4352450.281
0.045,0.023,0.986,4352450.283
0.044,0.021,0.983,4352450.285
0.043,0.023,0.985,4352450.287
0.042,0.022,0.989,4352450.289
0.043,0.021,0.988,4352450.291
0.042,0.022,0.989,4352450.293
0.042,0.022,0.989,4352450.295
0.042,0.023,0.987,4352450.297
0.044,0.022,0.987,4352450.299
0.044,0.022,0.987,4352450.301
0.044,0.021,0.987,4352450.302
0.044,0.022,0.987,4352450.304
0.043,0.021,0.987,4352450.306
0.042,0.02,0.989,4352450.309
0.043,0.019,0.99,4352450.310
0.043,0.018,0.989,4352450.312
0.042,0.017,0.989,4352450.314
0.042,0.015,0.989,4352450.316
0.043,0.016,0.988,4352450.318
0.044,0.015,0.989,4352450.320
0.044,0.017,0.99,4352450.322
0.045,0.015,0.99,4352450.324
0.045,0.015,0.988,4352450.326
0.045,0.014,0.987,4352450.328
0.045,0.013,0.987,4352450.330
0.045,0.012,0.988,4352450.332
0.046,0.014,0.988,4352450.334
0.043,0.016,0.988,4352450.336
0.042,0.017,0.988,4352450.338
0.042,0.017,0.987,4352450.340
0.044,0.017,0.987,4352450.342
