rssi,ts,anchor
-71,17224916.7089109,1007110080
-59,17224916.7920008,1007110042
-51,17224916.8521340,1007110044
-64,17224916.9364758,1007110048
-57,17224917.1173551,1007110043
-72,17224917.2997766,1007110062
-51,17224917.4269869,1007110046
-69,17224917.4632237,1007110052
-68,17224917.5727799,1007110047
-70,17224917.7530696,1007110034
-71,17224917.7772868,1007110051
-71,17224917.8100684,1007110063
-75,17224917.8823292,1007110066
-67,17224917.9080310,1007110060
-70,17224918.0333362,1007110036
-62,17224918.0835831,1007110040
-70,17224918.2742229,1007110087
-82,17224918.3210316,1007110085
-81,17224918.4252660,1007110086
-60,17224918.4719031,1007110045
-74,17224918.6824882,1007110065
-60,17224918.7205100,1007110050
-65,17224918.7371285,1007110061
-58,17224918.7821264,1007110039
-73,17224919.0776846,1007110089
-77,17224919.1930213,1007110090
-75,17224919.2871420,1007110033
-64,17224919.3171363,1007110088
-86,17224919.4937246,1007110084
-82,17224919.5605164,1007110053
-62,17224919.8799160,1007110051
-72,17224920.0731618,1007110082
-72,17224920.0871894,1007110065
-62,17224920.1955273,1007110040
-73,17224920.2411621,1007110049
-55,17224920.3098643,1007110042
-43,17224920.3816540,1007110044
-74,17224920.4612279,1007110048
-74,17224920.5998280,1007110090
-74,17224920.7035568,1007110066
-65,17224920.7286289,1007110088
-74,17224920.7330389,1007110060
-71,17224920.8230166,1007110062
-72,17224920.9032011,1007110084
-52,17224920.9450371,1007110046
-56,17224921.3543341,1007110043
-69,17224921.3955758,1007110033
-73,17224921.4535167,1007110030
-69,17224921.5280612,1007110050
-65,17224921.7538719,1007110035
-71,17224921.7822125,1007110087
-62,17224921.8086336,1007110047
-71,17224921.9218709,1007110037
-73,17224921.9609756,1007110076
-77,17224922.1369042,1007120013
-72,17224922.1730802,1007110058
-70,17224922.2530367,1007110061
-68,17224922.7438807,1007110063
-58,17224922.7628739,1007110043
-75,17224922.9547391,1007110061
-63,17224923.0043881,1007110040
-75,17224923.0937028,1007110052
-55,17224923.1319616,1007110042
-51,17224923.1974905,1007110044
-70,17224923.2716906,1007110048
-81,17224923.3897903,1007110034
-74,17224923.4474742,1007110032
-70,17224923.5466647,1007110088
-69,17224923.5521741,1007110060
-73,17224923.5818272,1007110058
-92,17224923.6097646,1007110065
-58,17224923.6412899,1007110050
-74,17224923.6443362,1007110038
-68,17224923.6631734,1007110036
-69,17224923.7588551,1007110080
-53,17224923.7858362,1007110046
-82,17224923.9432118,1007110068
-84,17224924.1257093,1007110090
-79,17224924.2155912,1007110033
-66,17224924.5685432,1007110035
-71,17224924.5997798,1007110087
-74,17224924.7146060,1007110089
-68,17224924.7409534,1007110037
-62,17224924.8121958,1007110045
-77,17224925.1928880,1007110053
-77,17224925.2637675,1007120014
-75,17224925.5481441,1007110059
-67,17224925.7587531,1007110050
-59,17224925.8297532,1007110039
-44,17224926.0117214,1007110044
-90,17224926.1532569,1007110037
-78,17224926.1870942,1007110086
-68,17224926.2124894,1007110034
-68,17224926.2249520,1007110045
-80,17224926.3313155,1007110033
-89,17224926.4342382,1007110082
-68,17224926.4471536,1007110062
-57,17224926.5781653,1007110046
-73,17224926.6085894,1007110053
-77,17224926.6287940,1007110052
-78,17224926.7469797,1007110047
-79,17224926.9570124,1007110031
-71,17224926.9607301,1007110059
-68,17224927.0622475,1007110088
-64,17224927.2415831,1007110040
-74,17224927.6831875,1007110063
-80,17224927.7082808,1007120008
-58,17224927.7115042,1007110043
-68,17224927.7771270,1007110060
-77,17224927.8314350,1007110065
-72,17224928.3849697,1007110032
-74,17224928.6424980,1007110084
-70,17224928.7436068,1007110052
-73,17224928.7945211,1007110054
-75,17224928.7995954,1007110064
-53,17224928.8195364,1007110044
-59,17224928.8612902,1007110047
-74,17224928.9420040,1007110089
-64,17224929.0345912,1007110045
-71,17224929.0975337,1007110063
-69,17224929.1871033,1007110060
-65,17224929.2167735,1007110058
-73,17224929.2715564,1007110062
-63,17224929.3036182,1007110036
-73,17224929.3917212,1007110049
-75,17224929.7775369,1007110059
-70,17224929.8823326,1007110088
-63,17224930.0650239,1007110040
-60,17224930.1145074,1007110046
-71,17224930.3287122,1007110048
-70,17224930.3826890,1007110037
-70,17224930.8123641,1007110080
-72,17224930.9033513,1007110035
-62,17224931.4101002,1007110061
-61,17224931.4696100,1007110039
-71,17224931.7368214,1007110048
-67,17224931.7988465,1007110037
-68,17224932.0099139,1007110060
-70,17224932.1297455,1007110036
-64,17224932.1852834,1007110040
-68,17224932.2402022,1007110053
-77,17224932.3138623,1007110035
-48,17224932.3499117,1007110044
-70,17224932.5783963,1007110090
-79,17224932.8196244,1007110061
-59,17224932.8231225,1007110050
-70,17224932.8802884,1007110084
-58,17224932.8841629,1007110039
-58,17224933.0000544,1007110042
-59,17224933.2410548,1007110051
-73,17224933.2678833,1007110034
-73,17224933.8638768,1007110089
-66,17224933.9890049,1007110072
-61,17224934.0471349,1007110043
-70,17224934.3222482,1007110049
-75,17224934.3440423,1007110046
-69,17224934.8039546,1007110066
-73,17224934.8169308,1007110088
-72,17224934.9376297,1007110050
-62,17224935.0076902,1007110040
