x,y,z,ts
0.002,0.004,0.001,17224917.415
0.001,0.005,-0.001,17224917.417
0.0,0.006,-0.0,17224917.419
0.001,0.004,0.0,17224917.420
0.001,0.004,-0.0,17224917.422
0.001,0.004,-0.0,17224917.423
0.001,0.005,-0.001,17224917.425
0.001,0.006,-0.001,17224917.426
0.001,0.004,-0.0,17224917.429
0.002,0.003,0.0,17224917.431
0.002,0.004,-0.0,17224917.432
0.002,0.007,0.0,17224917.434
0.002,0.006,0.001,17224917.435
0.002,0.005,0.001,17224917.438
0.002,0.006,0.0,17224917.439
0.001,0.006,-0.0,17224917.441
0.0,0.005,-0.001,17224917.443
0.002,0.005,-0.001,17224917.445
0.002,0.006,0.0,17224917.448
0.002,0.005,-0.0,17224917.449
0.003,0.004,-0.0,17224917.451
0.003,0.003,-0.001,17224917.453
0.001,0.004,-0.0,17224917.455
0.001,0.004,-0.002,17224917.458
0.001,0.003,-0.002,17224917.459
0.001,0.003,-0.002,17224917.461
0.001,0.004,-0.002,17224917.463
0.001,0.005,-0.002,17224917.465
0.001,0.006,-0.002,17224917.468
0.002,0.006,-0.0,17224917.469
0.001,0.006,0.0,17224917.471
0.002,0.006,0.0,17224917.473
0.002,0.006,-0.001,17224917.475
0.002,0.004,-0.002,17224917.477
0.001,0.003,-0.001,17224917.479
0.001,0.003,0.0,17224917.481
0.002,0.003,0.0,17224917.483
0.002,0.006,-0.0,17224917.485
0.001,0.006,-0.001,17224917.488
0.001,0.004,-0.0,17224917.489
0.002,0.006,-0.0,17224917.491
0.002,0.007,-0.0,17224917.493
0.002,0.005,0.0,17224917.495
0.003,0.006,0.0,17224917.497
0.002,0.006,0.0,17224917.499
0.0,0.006,-0.0,17224917.501
0.0,0.005,0.001,17224917.503
0.0,0.006,0.001,17224917.505
0.001,0.005,0.0,17224917.507
0.002,0.004,-0.0,17224917.509
0.001,0.004,0.001,17224917.511
0.001,0.003,0.001,17224917.513
0.001,0.002,-0.001,17224917.515
0.002,0.003,-0.001,17224917.517
0.002,0.003,-0.001,17224917.519
0.002,0.004,-0.001,17224917.521
0.001,0.003,-0.0,17224917.523
0.002,0.005,-0.0,17224917.525
0.003,0.006,0.0,17224917.528
0.002,0.006,0.0,17224917.529
0.002,0.004,0.001,17224917.531
0.002,0.004,0.0,17224917.533
0.0,0.002,0.0,17224917.535
-0.0,0.004,0.0,17224917.538
-0.001,0.003,-0.0,17224917.539
-0.0,0.003,-0.0,17224917.541
-0.0,0.004,-0.0,17224917.543
-0.001,0.005,-0.0,17224917.545
-0.001,0.004,0.0,17224917.548
-0.001,0.004,0.0,17224917.549
0.0,0.004,-0.0,17224917.551
0.002,0.004,-0.001,17224917.553
0.002,0.004,-0.001,17224917.555
0.002,0.004,-0.001,17224917.557
0.002,0.004,-0.001,17224917.559
0.002,0.004,-0.0,17224917.561
0.001,0.003,-0.001,17224917.563
0.001,0.003,-0.001,17224917.565
0.001,0.003,0.001,17224917.568
0.003,0.003,0.001,17224917.569
0.003,0.003,0.002,17224917.571
0.003,0.003,0.002,17224917.573
0.002,0.003,0.0,17224917.575
0.001,0.004,-0.001,17224917.578
0.001,0.003,-0.002,17224917.579
0.001,0.004,-0.002,17224917.581
0.001,0.004,-0.0,17224917.583
0.001,0.003,0.001,17224917.585
0.002,0.004,-0.0,17224917.588
0.001,0.004,-0.001,17224917.589
0.001,0.003,-0.001,17224917.591
0.002,0.005,-0.0,17224917.593
0.002,0.005,0.0,17224917.595
0.002,0.004,-0.0,17224917.598
0.001,0.003,0.0,17224917.599
0.001,0.003,0.0,17224917.601
0.001,0.004,-0.0,17224917.603
0.002,0.003,-0.0,17224917.605
0.001,0.002,0.001,17224917.608
0.001,0.002,0.0,17224917.609
0.001,0.003,0.001,17224917.611
0.001,0.003,0.001,17224917.613
0.001,0.004,0.001,17224917.615
0.001,0.005,0.001,17224917.618
-0.0,0.005,0.0,17224917.619
-0.0,0.005,-0.001,17224917.621
-0.001,0.004,-0.001,17224917.623
-0.0,0.004,0.001,17224917.625
0.0,0.003,0.0,17224917.628
0.001,0.003,0.001,17224917.629
0.001,0.003,0.001,17224917.631
0.001,0.003,0.001,17224917.633
0.002,0.004,0.001,17224917.635
0.002,0.004,-0.001,17224917.638
0.001,0.002,-0.001,17224917.639
0.001,0.001,-0.001,17224917.641
0.001,0.003,-0.0,17224917.643
-0.0,0.002,-0.001,17224917.645
-0.0,0.004,-0.0,17224917.648
-0.001,0.004,0.001,17224917.649
-0.001,0.003,0.001,17224917.651
-0.0,0.004,0.002,17224917.653
0.0,0.004,0.001,17224917.655
0.001,0.003,0.0,17224917.658
0.003,0.003,-0.0,17224917.659
0.003,0.002,-0.0,17224917.661
0.003,0.002,0.0,17224917.663
0.002,0.003,-0.001,17224917.665
0.002,0.003,-0.0,17224917.668
0.002,0.003,-0.001,17224917.669
0.002,0.004,-0.002,17224917.671
0.003,0.005,-0.001,17224917.673
0.001,0.005,-0.002,17224917.675
0.001,0.004,-0.001,17224917.678
0.0,0.003,0.001,17224917.679
-0.0,0.003,-0.0,17224917.681
0.001,0.005,0.0,17224917.683
0.0,0.003,0.001,17224917.686
0.0,0.002,0.001,17224917.688
0.0,0.002,-0.0,17224917.690
-0.0,0.003,-0.001,17224917.692
0.001,0.004,-0.001,17224917.694
0.001,0.004,-0.002,17224917.696
0.001,0.004,-0.002,17224917.698
0.0,0.003,-0.002,17224917.701
0.001,0.002,-0.002,17224917.703
0.0,0.001,-0.002,17224917.705
-0.001,0.002,-0.001,17224917.707
0.0,0.002,0.0,17224917.709
0.001,0.002,0.001,17224917.711
0.001,0.003,0.001,17224917.713
0.0,0.004,0.002,17224917.716
0.001,0.006,0.001,17224917.718
0.001,0.005,0.0,17224917.720
0.001,0.003,0.0,17224917.722
0.002,0.004,0.0,17224917.724
0.002,0.005,0.001,17224917.726
0.001,0.004,0.0,17224917.728
0.002,0.003,0.001,17224917.730
0.001,0.003,0.001,17224917.733
0.0,0.004,0.0,17224917.735
0.0,0.003,0.001,17224917.737
0.001,0.003,0.002,17224917.739
0.001,0.002,0.001,17224917.741
0.001,0.002,0.001,17224917.743
0.001,0.002,0.001,17224917.745
0.0,0.003,0.0,17224917.747
0.001,0.004,0.001,17224917.750
0.0,0.003,0.001,17224917.752
-0.0,0.002,0.001,17224917.754
0.0,0.002,0.0,17224917.756
0.001,0.002,0.0,17224917.758
0.0,0.002,0.001,17224917.760
0.0,0.002,0.001,17224917.762
0.001,0.002,-0.0,17224917.765
0.001,0.002,0.001,17224917.767
0.001,0.003,0.0,17224917.769
0.001,0.002,-0.0,17224917.771
0.001,0.001,-0.001,17224917.773
0.001,0.001,-0.001,17224917.775
0.001,0.002,-0.001,17224917.777
0.001,0.003,-0.0,17224917.780
0.001,0.002,-0.001,17224917.782
0.001,0.001,-0.001,17224917.784
0.001,0.0,0.002,17224917.786
0.0,0.001,0.001,17224917.788
0.001,0.002,0.001,17224917.790
0.0,0.001,0.001,17224917.792
0.001,0.001,0.0,17224917.794
0.001,0.002,-0.001,17224917.796
-0.001,0.002,-0.001,17224917.798
0.0,0.004,-0.0,17224917.800
0.002,0.003,0.001,17224917.802
0.002,0.001,0.001,17224917.804
0.001,0.001,0.001,17224917.806
0.001,0.004,-0.0,17224917.808
0.001,0.003,0.0,17224917.810
-0.001,0.002,0.0,17224917.812
0.0,0.001,-0.001,17224917.814
0.001,0.0,-0.001,17224917.816
0.001,0.0,-0.0,17224917.818
0.001,0.002,0.001,17224917.820
0.0,0.002,-0.0,17224917.822
0.001,0.003,-0.001,17224917.824
0.001,0.003,-0.001,17224917.826
0.0,0.003,-0.0,17224917.828
0.0,0.003,-0.001,17224917.830
-0.001,0.001,-0.001,17224917.832
0.001,0.001,-0.001,17224917.834
0.001,0.002,-0.001,17224917.836
-0.001,0.002,-0.001,17224917.838
-0.001,0.003,-0.0,17224917.840
0.0,0.004,-0.0,17224917.842
