x,y,z,ts
3.256,-8.156,14.137,17225059.955
5.861,-14.681,25.448,17225059.958
7.944,-19.901,34.495,17225059.960
9.612,-23.937,41.87,17225059.962
10.945,-27.165,47.769,17225059.964
12.012,-29.748,52.489,17225059.966
12.866,-31.814,56.265,17225059.968
13.548,-33.467,59.285,17225059.970
14.236,-35.07,61.43,17225059.975
14.786,-36.353,63.145,17225059.977
15.227,-37.379,64.518,17225059.979
15.579,-38.2,65.616,17225059.981
15.719,-38.857,66.358,17225059.983
15.831,-39.383,66.952,17225059.985
15.921,-39.803,67.427,17225059.987
15.993,-40.139,67.808,17225059.990
16.192,-40.408,68.248,17225059.992
16.351,-40.623,68.6,17225059.994
16.478,-40.796,68.881,17225059.996
16.58,-40.933,69.107,17225059.998
16.661,-41.044,69.287,17225060.000
16.444,-40.991,69.567,17225060.002
16.269,-40.949,69.791,17225060.004
16.13,-40.916,69.97,17225060.007
16.018,-40.889,70.114,17225060.009
15.929,-40.867,70.229,17225060.011
16.141,-40.85,70.048,17225060.013
16.31,-40.836,69.904,17225060.015
16.446,-40.825,69.789,17225060.017
16.554,-40.816,69.697,17225060.020
16.499,-40.95,69.759,17225060.022
16.455,-41.057,69.809,17225060.024
16.42,-41.142,69.849,17225060.026
16.392,-41.211,69.88,17225060.028
16.37,-41.266,69.906,17225060.030
16.352,-41.169,70.062,17225060.033
16.337,-41.091,70.187,17225060.035
16.326,-41.029,70.287,17225060.037
16.316,-40.98,70.367,17225060.039
16.309,-40.94,70.431,17225060.041
16.303,-40.627,70.347,17225060.043
16.299,-40.377,70.279,17225060.045
16.295,-40.176,70.225,17225060.047
16.292,-40.016,70.181,17225060.050
16.431,-39.888,70.147,17225060.052
16.542,-39.785,70.119,17225060.053
16.631,-39.703,70.097,17225060.055
16.703,-39.638,70.079,17225060.057
16.76,-39.585,70.065,17225060.059
16.805,-39.543,70.053,17225060.061
16.983,-39.65,69.908,17225060.063
17.126,-39.736,69.792,17225060.065
17.24,-39.804,69.699,17225060.067
17.331,-39.859,69.625,17225060.069
17.404,-39.903,69.566,17225060.070
17.037,-40.078,69.382,17225060.072
16.744,-40.219,69.236,17225060.074
16.51,-40.331,69.118,17225060.076
16.322,-40.421,69.024,17225060.078
16.172,-40.493,68.949,17225060.080
16.052,-40.41,68.617,17225060.082
15.956,-40.344,68.351,17225060.084
15.879,-40.291,68.139,17225060.086
15.818,-40.248,67.969,17225060.088
15.769,-40.214,67.833,17225060.090
15.871,-39.765,67.996,17225060.092
15.953,-39.406,68.127,17225060.094
16.018,-39.118,68.231,17225060.096
16.07,-38.888,68.314,17225060.097
16.112,-38.705,68.381,17225060.099
16.146,-38.557,68.435,17225060.101
16.031,-39.002,68.341,17225060.103
15.939,-39.358,68.267,17225060.105
15.866,-39.643,68.207,17225060.107
15.807,-39.87,68.16,17225060.109
15.76,-40.053,68.121,17225060.111
15.581,-39.917,68.091,17225060.113
15.437,-39.809,68.066,17225060.114
15.323,-39.722,68.047,17225060.116
15.231,-39.653,68.031,17225060.118
15.158,-39.597,68.019,17225060.120
15.24,-39.834,67.873,17225060.122
15.307,-40.023,67.756,17225060.124
15.36,-40.175,67.663,17225060.126
15.402,-40.296,67.588,17225060.128
15.436,-40.393,67.528,17225060.130
15.039,-40.19,67.752,17225060.131
14.721,-40.027,67.931,17225060.133
