x,y,z,ts
-0.052,-0.081,0.956,17225332.561
-0.053,-0.081,0.958,17225332.564
-0.054,-0.081,0.954,17225332.566
-0.052,-0.08,0.954,17225332.568
-0.052,-0.079,0.956,17225332.570
-0.052,-0.079,0.955,17225332.572
-0.053,-0.078,0.955,17225332.574
-0.052,-0.079,0.956,17225332.577
-0.051,-0.08,0.956,17225332.581
-0.051,-0.081,0.957,17225332.584
-0.052,-0.08,0.958,17225332.586
-0.052,-0.079,0.959,17225332.588
-0.053,-0.079,0.957,17225332.590
-0.054,-0.08,0.958,17225332.592
-0.055,-0.083,0.958,17225332.594
-0.054,-0.082,0.954,17225332.596
-0.053,-0.081,0.955,17225332.599
-0.054,-0.08,0.957,17225332.601
-0.054,-0.08,0.958,17225332.603
-0.052,-0.079,0.957,17225332.605
-0.053,-0.08,0.957,17225332.607
-0.052,-0.08,0.957,17225332.609
-0.052,-0.079,0.956,17225332.612
-0.052,-0.078,0.957,17225332.614
-0.053,-0.077,0.956,17225332.616
-0.053,-0.078,0.956,17225332.618
-0.053,-0.08,0.957,17225332.620
-0.054,-0.079,0.958,17225332.622
-0.054,-0.08,0.958,17225332.625
-0.054,-0.081,0.957,17225332.627
-0.052,-0.08,0.957,17225332.629
-0.052,-0.081,0.956,17225332.631
-0.052,-0.08,0.959,17225332.634
-0.053,-0.079,0.96,17225332.636
-0.053,-0.079,0.961,17225332.638
-0.053,-0.08,0.962,17225332.640
-0.051,-0.08,0.962,17225332.642
-0.052,-0.081,0.961,17225332.644
-0.052,-0.079,0.96,17225332.646
-0.051,-0.08,0.959,17225332.648
-0.05,-0.08,0.958,17225332.650
-0.051,-0.08,0.959,17225332.652
-0.051,-0.079,0.958,17225332.654
-0.052,-0.079,0.956,17225332.655
-0.052,-0.078,0.958,17225332.657
-0.052,-0.078,0.958,17225332.659
-0.051,-0.079,0.957,17225332.661
-0.052,-0.081,0.957,17225332.663
-0.051,-0.08,0.957,17225332.665
-0.05,-0.08,0.957,17225332.667
-0.051,-0.08,0.957,17225332.669
-0.051,-0.08,0.958,17225332.671
-0.051,-0.081,0.959,17225332.673
-0.053,-0.081,0.958,17225332.675
-0.054,-0.08,0.959,17225332.677
-0.053,-0.081,0.958,17225332.679
-0.052,-0.081,0.958,17225332.681
-0.051,-0.08,0.959,17225332.683
-0.051,-0.077,0.959,17225332.685
-0.052,-0.078,0.958,17225332.686
-0.052,-0.079,0.957,17225332.688
-0.051,-0.08,0.959,17225332.690
-0.052,-0.079,0.959,17225332.692
-0.052,-0.079,0.96,17225332.694
-0.052,-0.079,0.961,17225332.696
-0.052,-0.079,0.959,17225332.698
-0.051,-0.078,0.959,17225332.700
-0.051,-0.078,0.959,17225332.702
-0.051,-0.079,0.961,17225332.704
-0.05,-0.079,0.961,17225332.706
-0.05,-0.079,0.959,17225332.708
-0.051,-0.079,0.957,17225332.710
-0.05,-0.079,0.957,17225332.712
-0.049,-0.08,0.959,17225332.714
-0.051,-0.081,0.961,17225332.716
-0.053,-0.079,0.96,17225332.717
-0.053,-0.081,0.96,17225332.719
-0.053,-0.081,0.96,17225332.721
-0.054,-0.081,0.96,17225332.723
-0.054,-0.081,0.959,17225332.725
-0.053,-0.08,0.959,17225332.727
-0.053,-0.08,0.961,17225332.729
-0.052,-0.079,0.961,17225332.731
-0.052,-0.079,0.961,17225332.733
-0.053,-0.079,0.961,17225332.734
-0.051,-0.079,0.961,17225332.736
-0.051,-0.078,0.96,17225332.738
-0.051,-0.079,0.961,17225332.740
-0.053,-0.078,0.962,17225332.742
-0.055,-0.079,0.96,17225332.744
-0.054,-0.078,0.959,17225332.746
-0.052,-0.079,0.959,17225332.748
-0.052,-0.078,0.957,17225332.750
-0.052,-0.079,0.958,17225332.752
-0.051,-0.08,0.958,17225332.754
-0.052,-0.081,0.959,17225332.756
-0.052,-0.082,0.96,17225332.758
-0.051,-0.081,0.961,17225332.760
-0.052,-0.08,0.96,17225332.762
-0.052,-0.081,0.959,17225332.765
-0.052,-0.082,0.959,17225332.767
-0.052,-0.082,0.958,17225332.768
-0.052,-0.081,0.959,17225332.770
-0.052,-0.082,0.959,17225332.772
-0.052,-0.081,0.96,17225332.775
-0.052,-0.081,0.96,17225332.777
-0.052,-0.081,0.961,17225332.779
-0.053,-0.078,0.96,17225332.781
-0.053,-0.079,0.961,17225332.783
-0.051,-0.08,0.962,17225332.785
-0.051,-0.079,0.963,17225332.787
-0.051,-0.077,0.959,17225332.789
-0.052,-0.075,0.957,17225332.791
-0.052,-0.075,0.959,17225332.793
-0.053,-0.077,0.961,17225332.795
-0.053,-0.078,0.961,17225332.797
-0.052,-0.079,0.96,17225332.799
-0.051,-0.079,0.96,17225332.801
-0.051,-0.079,0.962,17225332.803
-0.052,-0.08,0.962,17225332.805
-0.052,-0.08,0.962,17225332.807
-0.052,-0.081,0.96,17225332.809
-0.053,-0.082,0.958,17225332.811
-0.053,-0.081,0.958,17225332.813
-0.052,-0.08,0.958,17225332.815
-0.053,-0.08,0.96,17225332.817
-0.052,-0.079,0.959,17225332.820
-0.053,-0.078,0.957,17225332.822
-0.052,-0.076,0.958,17225332.824
-0.051,-0.077,0.958,17225332.826
-0.051,-0.076,0.955,17225332.828
-0.052,-0.077,0.958,17225332.830
-0.052,-0.079,0.956,17225332.832
-0.05,-0.078,0.958,17225332.834
-0.051,-0.079,0.959,17225332.836
-0.051,-0.08,0.959,17225332.838
-0.051,-0.078,0.961,17225332.840
-0.051,-0.077,0.959,17225332.842
-0.051,-0.077,0.957,17225332.844
-0.051,-0.078,0.959,17225332.846
-0.051,-0.079,0.96,17225332.848
-0.051,-0.079,0.961,17225332.850
-0.05,-0.079,0.961,17225332.852
-0.052,-0.079,0.962,17225332.854
-0.053,-0.08,0.961,17225332.856
-0.054,-0.08,0.96,17225332.858
-0.052,-0.078,0.958,17225332.860
-0.052,-0.078,0.958,17225332.862
-0.052,-0.079,0.96,17225332.864
-0.052,-0.079,0.963,17225332.866
-0.052,-0.077,0.963,17225332.868
-0.052,-0.08,0.962,17225332.870
-0.051,-0.079,0.961,17225332.872
-0.051,-0.078,0.961,17225332.874
-0.05,-0.078,0.96,17225332.877
-0.052,-0.077,0.956,17225332.879
-0.052,-0.078,0.957,17225332.880
-0.052,-0.08,0.961,17225332.883
-0.052,-0.079,0.959,17225332.885
-0.053,-0.079,0.959,17225332.887
-0.052,-0.08,0.96,17225332.889
-0.052,-0.08,0.961,17225332.891
-0.052,-0.079,0.96,17225332.893
-0.051,-0.079,0.959,17225332.895
-0.051,-0.079,0.959,17225332.897
-0.052,-0.08,0.962,17225332.899
-0.051,-0.08,0.96,17225332.901
-0.05,-0.079,0.961,17225332.903
-0.051,-0.078,0.963,17225332.905
-0.052,-0.08,0.962,17225332.907
-0.053,-0.079,0.96,17225332.909
-0.052,-0.08,0.959,17225332.911
-0.052,-0.081,0.959,17225332.913
-0.052,-0.081,0.959,17225332.915
-0.052,-0.081,0.958,17225332.917
-0.052,-0.078,0.961,17225332.919
-0.051,-0.08,0.962,17225332.921
-0.052,-0.08,0.961,17225332.923
-0.053,-0.08,0.961,17225332.925
-0.051,-0.08,0.96,17225332.927
-0.051,-0.08,0.96,17225332.929
-0.051,-0.079,0.959,17225332.931
-0.05,-0.078,0.96,17225332.933
-0.05,-0.077,0.962,17225332.935
-0.051,-0.079,0.961,17225332.937
-0.052,-0.079,0.96,17225332.939
-0.052,-0.078,0.962,17225332.941
-0.051,-0.078,0.961,17225332.943
-0.052,-0.079,0.96,17225332.945
-0.052,-0.08,0.96,17225332.947
-0.051,-0.081,0.962,17225332.949
-0.051,-0.08,0.959,17225332.951
-0.05,-0.078,0.958,17225332.954
