x,y,z,ts
-0.399,0.019,0.869,40802489.117
-0.401,0.021,0.866,40802489.121
-0.4,0.016,0.864,40802489.125
-0.4,0.009,0.861,40802489.129
-0.402,0.006,0.859,40802489.133
-0.403,0.007,0.856,40802489.137
-0.405,0.007,0.847,40802489.141
-0.407,0.005,0.845,40802489.145
-0.407,-0.003,0.845,40802489.149
-0.406,-0.009,0.844,40802489.153
-0.408,-0.012,0.838,40802489.157
-0.413,-0.016,0.835,40802489.161
-0.414,-0.019,0.83,40802489.165
-0.416,-0.026,0.832,40802489.169
-0.416,-0.032,0.826,40802489.173
-0.417,-0.039,0.824,40802489.177
-0.42,-0.044,0.823,40802489.181
-0.424,-0.046,0.818,40802489.185
-0.427,-0.05,0.814,40802489.189
-0.428,-0.056,0.816,40802489.193
-0.433,-0.063,0.817,40802489.197
-0.439,-0.068,0.818,40802489.201
-0.444,-0.07,0.819,40802489.205
-0.444,-0.065,0.815,40802489.209
-0.447,-0.067,0.82,40802489.213
-0.449,-0.071,0.822,40802489.217
-0.45,-0.074,0.826,40802489.221
-0.454,-0.072,0.828,40802489.225
-0.456,-0.07,0.83,40802489.229
-0.456,-0.066,0.836,40802489.233
-0.455,-0.065,0.84,40802489.237
-0.454,-0.064,0.844,40802489.241
-0.455,-0.064,0.851,40802489.245
-0.456,-0.06,0.859,40802489.249
-0.452,-0.054,0.864,40802489.253
-0.447,-0.047,0.869,40802489.257
-0.44,-0.042,0.876,40802489.261
-0.438,-0.036,0.884,40802489.265
-0.433,-0.029,0.889,40802489.269
-0.433,-0.021,0.894,40802489.273
-0.429,-0.011,0.9,40802489.277
-0.425,-0.007,0.903,40802489.281
-0.423,-0.007,0.911,40802489.285
-0.42,-0.005,0.914,40802489.289
-0.417,0.001,0.922,40802489.293
-0.416,0.006,0.925,40802489.297
-0.413,0.009,0.923,40802489.301
-0.409,0.009,0.928,40802489.305
-0.408,0.006,0.925,40802489.309
-0.407,0.005,0.925,40802489.313
-0.405,0.008,0.926,40802489.317
-0.403,0.009,0.924,40802489.321
-0.402,0.008,0.922,40802489.325
-0.403,0.004,0.922,40802489.329
-0.405,-0.004,0.916,40802489.333
-0.406,-0.007,0.912,40802489.337
-0.408,-0.006,0.903,40802489.341
-0.408,-0.008,0.899,40802489.345
-0.41,-0.015,0.895,40802489.349
-0.413,-0.023,0.889,40802489.353
-0.42,-0.028,0.883,40802489.357
-0.423,-0.031,0.878,40802489.361
-0.429,-0.033,0.87,40802489.365
-0.431,-0.037,0.868,40802489.369
-0.431,-0.041,0.865,40802489.373
-0.435,-0.042,0.862,40802489.377
-0.438,-0.043,0.861,40802489.381
-0.439,-0.041,0.858,40802489.385
-0.441,-0.038,0.857,40802489.389
-0.441,-0.037,0.861,40802489.393
-0.442,-0.036,0.866,40802489.397
-0.445,-0.033,0.866,40802489.401
-0.446,-0.028,0.863,40802489.405
-0.444,-0.02,0.867,40802489.409
-0.442,-0.016,0.865,40802489.413
-0.441,-0.014,0.869,40802489.417
-0.439,-0.011,0.871,40802489.421
-0.443,-0.013,0.872,40802489.425
-0.445,-0.011,0.875,40802489.429
-0.446,-0.006,0.873,40802489.433
-0.444,-0.009,0.874,40802489.437
-0.445,-0.013,0.874,40802489.441
-0.448,-0.015,0.875,40802489.445
-0.448,-0.017,0.875,40802489.449
-0.448,-0.019,0.875,40802489.453
-0.444,-0.018,0.875,40802489.457
-0.443,-0.022,0.875,40802489.461
-0.441,-0.027,0.877,40802489.465
-0.441,-0.031,0.876,40802489.469
-0.441,-0.03,0.875,40802489.473
-0.437,-0.029,0.881,40802489.477
-0.434,-0.028,0.883,40802489.481
-0.431,-0.031,0.887,40802489.485
-0.43,-0.032,0.893,40802489.489
-0.431,-0.031,0.894,40802489.493
-0.429,-0.028,0.891,40802489.497
-0.428,-0.023,0.894,40802489.501
-0.428,-0.022,0.896,40802489.505
-0.427,-0.024,0.902,40802489.509
-0.425,-0.025,0.906,40802489.513
-0.423,-0.021,0.907,40802489.517
-0.421,-0.019,0.908,40802489.521
-0.417,-0.016,0.911,40802489.525
-0.416,-0.018,0.913,40802489.529
-0.415,-0.021,0.921,40802489.533
-0.414,-0.023,0.92,40802489.537
-0.413,-0.023,0.921,40802489.541
-0.413,-0.024,0.925,40802489.545
-0.411,-0.025,0.922,40802489.549
-0.409,-0.032,0.923,40802489.553
-0.409,-0.033,0.921,40802489.557
-0.41,-0.033,0.918,40802489.561
-0.411,-0.031,0.922,40802489.565
-0.41,-0.031,0.923,40802489.569
-0.411,-0.032,0.923,40802489.573
-0.413,-0.036,0.923,40802489.577
-0.412,-0.031,0.924,40802489.581
-0.416,-0.028,0.925,40802489.585
-0.417,-0.026,0.929,40802489.589
-0.416,-0.027,0.927,40802489.593
-0.418,-0.03,0.929,40802489.597
-0.423,-0.029,0.933,40802489.601
-0.425,-0.026,0.933,40802489.605
-0.428,-0.021,0.929,40802489.609
-0.427,-0.017,0.933,40802489.613
-0.427,-0.019,0.935,40802489.617
-0.429,-0.02,0.936,40802489.621
-0.433,-0.02,0.937,40802489.625
-0.436,-0.014,0.939,40802489.629
-0.435,-0.01,0.943,40802489.633
-0.435,-0.009,0.943,40802489.637
-0.435,-0.008,0.943,40802489.641
-0.436,-0.01,0.948,40802489.645
-0.436,-0.007,0.951,40802489.649
-0.437,-0.003,0.953,40802489.653
-0.438,-0.0,0.948,40802489.657
-0.438,-0.001,0.95,40802489.661
-0.437,-0.004,0.951,40802489.665
-0.436,-0.005,0.952,40802489.669
-0.433,-0.001,0.953,40802489.673
-0.434,0.001,0.954,40802489.677
-0.433,-0.003,0.951,40802489.681
-0.434,-0.008,0.95,40802489.685
-0.435,-0.013,0.946,40802489.689
-0.437,-0.017,0.944,40802489.693
-0.439,-0.016,0.945,40802489.697
-0.439,-0.017,0.946,40802489.701
-0.437,-0.018,0.948,40802489.705
-0.436,-0.021,0.949,40802489.709
-0.435,-0.024,0.947,40802489.713
-0.437,-0.022,0.942,40802489.717
-0.432,-0.021,0.945,40802489.721
-0.432,-0.02,0.948,40802489.725
-0.429,-0.024,0.943,40802489.729
-0.429,-0.028,0.943,40802489.733
-0.428,-0.03,0.943,40802489.737
-0.428,-0.027,0.945,40802489.741
-0.428,-0.022,0.944,40802489.745
-0.427,-0.022,0.946,40802489.749
-0.425,-0.025,0.948,40802489.753
-0.424,-0.024,0.949,40802489.757
-0.427,-0.019,0.949,40802489.761
-0.426,-0.007,0.952,40802489.765
-0.421,0.001,0.953,40802489.769
-0.415,0.002,0.957,40802489.773
-0.41,0.003,0.958,40802489.777
-0.411,0.004,0.96,40802489.781
-0.408,0.011,0.959,40802489.785
-0.407,0.022,0.966,40802489.789
-0.402,0.028,0.97,40802489.793
-0.394,0.034,0.978,40802489.797
-0.387,0.043,0.983,40802489.801
-0.38,0.056,0.993,40802489.805
-0.371,0.069,1.001,40802489.809
-0.358,0.084,1.01,40802489.813
-0.346,0.096,1.024,40802489.817
-0.331,0.104,1.035,40802489.821
