rssi,ts,anchor
-71,40802489.2500000,1004110010
-87,40802489.9800000,1004110004
-90,40802490.1600001,1004110112
-86,40802490.3499999,1004120001
-83,40802490.6400001,1004110002
-73,40802490.8499999,1004110012
-65,40802491.3599999,1004110010
-85,40802492.6900001,1004110023
-73,40802493.4800000,1004110010
-78,40802493.6700001,1004110012
-86,40802493.7000000,1004110111
-89,40802494.0899999,1004110023
-80,40802494.2200000,1004110004
-81,40802495.7900000,1004110112
-75,40802496.0500000,1004110006
-73,40802496.3000000,1004110010
-77,40802498.4100001,1004110010
-83,40802498.8000000,1004110018
-77,40802499.1600001,1004110004
-75,40802500.2700000,1004110006
-86,40802501.2800000,1004110004
-92,40802501.3800001,1004110001
-82,40802501.4400001,1004110012
-89,40802501.5699999,1004110016
-79,40802502.1300001,1004110112
-76,40802502.8299999,1004110112
-66,40802503.0899999,1004110006
-90,40802503.5699999,1004110108
-73,40802505.2200000,1004110006
-84,40802505.8000000,1004110016
-93,40802505.8599999,1004110021
-87,40802505.9200001,1004110006
-79,40802506.4000001,1004110111
-81,40802506.5500000,1004110018
-78,40802507.2000000,1004110016
-94,40802507.3800001,1004110025
-84,40802507.5000000,1004110023
-68,40802507.7600000,1004110112
-76,40802509.8800001,1004110112
-84,40802510.9000001,1004110025
-83,40802511.1099999,1004120002
-73,40802511.2900000,1004110112
-90,40802511.6500001,1004110028
-77,40802512.1300001,1004110016
-78,40802513.5400000,1004110016
-75,40802513.5899999,1004110018
-87,40802513.9200001,1004110010
-85,40802514.5799999,1004110017
-81,40802514.6199999,1004110110
-81,40802515.2800000,1004110017
-79,40802515.5500000,1004110111
-72,40802515.6600001,1004110016
-76,40802516.3599999,1004110016
-90,40802516.5899999,1004110028
-89,40802516.8900001,1004120003
-96,40802517.0400000,1004110035
-63,40802517.1099999,1004110018
-91,40802517.2800000,1004110026
-70,40802517.3900001,1004110017
-74,40802517.7700000,1004110016
-68,40802517.8099999,1004110018
-82,40802517.8499999,1004110024
-77,40802518.0899999,1004110017
-72,40802518.1600001,1004120002
-87,40802518.4600000,1004110035
-67,40802519.2500000,1004110021
-90,40802519.4100001,1004120003
-73,40802519.9300001,1004110018
-72,40802519.9600000,1004110021
-75,40802520.4900000,1004110111
-72,40802520.9600000,1004110110
-75,40802521.6700001,1004110022
-71,40802522.3699999,1004110110
-84,40802522.6900001,1004110016
-76,40802523.5000000,1004110024
-75,40802523.9700000,1004120003
-65,40802524.1800001,1004110021
-83,40802524.2100000,1004110024
-87,40802524.7500000,1004110108
-84,40802524.8099999,1004110016
-74,40802525.6199999,1004110024
-81,40802525.6900001,1004120004
-84,40802525.7500000,1004110026
-72,40802526.3199999,1004110024
-69,40802527.8299999,1004110025
-71,40802527.8699999,1004110028
-82,40802528.3800001,1004110018
-66,40802528.4300001,1004110024
-81,40802528.4700000,1004110107
-69,40802528.5599999,1004110026
-66,40802528.9800000,1004110108
-84,40802529.0200000,1004120003
-91,40802529.0400000,1004110016
-66,40802529.2400000,1004110025
-71,40802529.2600000,1004110026
-62,40802529.6800001,1004110108
-75,40802530.6300001,1004120004
-69,40802530.6700001,1004110026
-69,40802530.7000000,1004110028
-62,40802531.0999999,1004110108
-80,40802531.8099999,1004120005
-71,40802532.0699999,1004110026
-91,40802532.9100001,1004110017
-88,40802533.2700000,1004110035
-65,40802533.5200000,1004110028
-71,40802534.0599999,1004110024
-69,40802534.2600000,1004110029
-70,40802534.6099999,1004110108
-67,40802534.9700000,1004110029
-74,40802535.5200000,1004110107
-76,40802535.5799999,1004110025
-66,40802535.6800001,1004110029
-66,40802535.9800000,1004110030
-65,40802536.3800001,1004110029
-79,40802536.6900001,1004110030
-79,40802536.8599999,1004110021
-76,40802536.8800001,1004110024
-73,40802537.0500000,1004110028
-74,40802537.3900001,1004110030
-72,40802537.6300001,1004110107
-74,40802537.7900000,1004110029
-63,40802538.0999999,1004110030
-78,40802538.4600000,1004110028
-67,40802538.8000000,1004110030
-81,40802539.0400000,1004110107
-82,40802539.1300001,1004110026
-59,40802539.5100000,1004110030
-80,40802539.6099999,1004110035
-76,40802540.2500000,1004110108
-75,40802540.3299999,1004110033
-65,40802540.5999999,1004110029
-61,40802541.0500000,1004110031
-70,40802541.7400000,1004110033
-64,40802541.7500000,1004110031
-83,40802542.7000000,1004110028
-67,40802543.0300000,1004110030
-64,40802543.1500001,1004110031
-74,40802544.2200000,1004110037
-71,40802544.5500000,1004110033
