x,y,z,ts
55.744,-21.833,6.947,40802489.117
54.841,-22.248,7.823,40802489.121
56.338,-21.595,9.865,40802489.125
57.536,-21.073,11.499,40802489.129
57.811,-21.358,9.954,40802489.133
58.031,-21.587,8.718,40802489.137
57.012,-21.769,7.897,40802489.141
56.197,-21.916,7.241,40802489.145
55.715,-21.611,9.399,40802489.149
55.33,-21.367,11.126,40802489.153
56.217,-21.875,11.166,40802489.157
56.927,-22.281,11.198,40802489.161
57.153,-22.184,8.874,40802489.165
57.334,-22.107,7.015,40802489.169
55.942,-22.185,7.709,40802489.173
54.828,-22.248,8.265,40802489.177
56.328,-22.439,9.044,40802489.181
57.528,-22.592,9.668,40802489.185
58.146,-22.011,8.322,40802489.189
58.641,-21.546,7.244,40802489.193
57.329,-21.878,6.55,40802489.197
56.279,-22.143,5.995,40802489.201
56.635,-21.792,8.403,40802489.205
56.92,-21.512,10.329,40802489.209
57.66,-21.71,10.864,40802489.213
58.252,-21.868,11.291,40802489.217
58.213,-22.135,8.949,40802489.221
58.182,-22.348,7.076,40802489.225
56.962,-22.379,7.422,40802489.229
55.986,-22.403,7.699,40802489.233
55.888,-22.563,9.766,40802489.237
55.81,-22.691,11.42,40802489.241
56.772,-22.372,8.381,40802489.245
57.541,-22.116,5.95,40802489.249
56.62,-22.333,5.011,40802489.253
55.883,-22.507,4.261,40802489.257
55.123,-22.647,5.841,40802489.261
54.514,-22.758,7.106,40802489.265
54.711,-22.144,6.607,40802489.269
54.868,-21.653,6.208,40802489.273
55.506,-22.385,5.051,40802489.277
56.016,-22.97,4.124,40802489.281
55.742,-22.735,5.229,40802489.285
55.522,-22.548,6.112,40802489.289
54.663,-22.819,7.49,40802489.293
53.976,-23.037,8.592,40802489.297
56.5,-23.211,6.622,40802489.301
58.519,-23.35,5.046,40802489.305
56.89,-23.039,3.45,40802489.309
55.587,-22.791,2.173,40802489.313
54.544,-22.733,4.171,40802489.317
53.71,-22.686,5.769,40802489.321
55.604,-21.946,6.041,40802489.325
57.12,-21.353,6.259,40802489.329
57.307,-22.145,4.42,40802489.333
57.457,-22.779,2.949,40802489.337
55.699,-22.723,2.778,40802489.341
54.293,-22.678,2.642,40802489.345
54.363,-22.08,5.217,40802489.349
54.419,-21.602,7.278,40802489.353
55.317,-22.063,6.409,40802489.357
56.036,-22.431,5.715,40802489.361
55.245,-22.023,3.649,40802489.365
54.613,-21.697,1.996,40802489.369
53.594,-21.576,3.694,40802489.373
52.779,-21.48,5.052,40802489.377
54.518,-21.824,5.468,40802489.381
55.909,-22.1,5.8,40802489.385
56.168,-22.039,3.885,40802489.389
56.375,-21.991,2.353,40802489.393
54.834,-22.233,2.805,40802489.397
53.6,-22.427,3.167,40802489.401
54.662,-22.442,5.637,40802489.405
55.512,-22.453,7.613,40802489.409
56.192,-22.603,7.349,40802489.413
56.736,-22.723,7.137,40802489.417
56.317,-22.819,4.955,40802489.421
55.983,-22.896,3.209,40802489.425
55.202,-22.676,4.832,40802489.429
54.578,-22.5,6.13,40802489.433
55.445,-23.063,7.672,40802489.437
56.138,-23.513,8.906,40802489.441
56.864,-23.591,5.699,40802489.445
57.444,-23.654,3.133,40802489.449
56.201,-23.845,2.59,40802489.453
55.206,-23.998,2.156,40802489.457
54.24,-23.98,4.661,40802489.461
53.467,-23.965,6.664,40802489.465
54.214,-23.25,5.751,40802489.469
54.812,-22.678,5.02,40802489.473
55.632,-23.346,3.765,40802489.477
56.288,-23.88,2.76,40802489.481
55.447,-23.463,4.305,40802489.485
54.774,-23.13,5.541,40802489.489
54.577,-23.145,6.698,40802489.493
54.419,-23.156,7.623,40802489.497
56.684,-23.025,6.014,40802489.501
58.495,-22.92,4.728,40802489.505
56.871,-23.258,3.698,40802489.509
55.572,-23.528,2.875,40802489.513
54.191,-23.604,4.9,40802489.517
53.086,-23.664,6.52,40802489.521
55.446,-23.15,6.307,40802489.525
57.335,-22.739,6.136,40802489.529
56.455,-22.972,4.322,40802489.533
55.751,-23.159,2.87,40802489.537
54.846,-23.168,3.387,40802489.541
54.123,-23.175,3.8,40802489.545
55.251,-22.899,5.808,40802489.549
56.154,-22.679,7.414,40802489.553
56.364,-23.346,6.686,40802489.557
56.532,-23.88,6.104,40802489.561
55.813,-23.885,4.464,40802489.565
55.237,-23.89,3.152,40802489.569
54.435,-23.752,4.786,40802489.573
53.794,-23.642,6.094,40802489.577
55.5,-23.414,6.301,40802489.581
56.866,-23.231,6.467,40802489.585
56.763,-23.226,4.083,40802489.589
56.68,-23.221,2.176,40802489.593
54.565,-23.499,2.663,40802489.597
52.873,-23.721,3.053,40802489.601
54.081,-23.477,5.211,40802489.605
55.047,-23.281,6.937,40802489.609
55.649,-23.266,6.304,40802489.613
56.131,-23.253,5.798,40802489.617
55.833,-23.243,4.219,40802489.621
55.595,-23.235,2.956,40802489.625
55.234,-22.526,4.462,40802489.629
54.945,-21.958,5.667,40802489.633
55.568,-22.348,7.637,40802489.637
