x,y,z,ts
-0.119,-0.047,0.032,40802489.117
-0.129,-0.054,0.034,40802489.121
-0.14,-0.061,0.039,40802489.125
-0.149,-0.068,0.04,40802489.129
-0.156,-0.078,0.041,40802489.133
-0.163,-0.085,0.042,40802489.137
-0.173,-0.093,0.044,40802489.141
-0.186,-0.1,0.044,40802489.145
-0.196,-0.108,0.047,40802489.149
-0.204,-0.114,0.046,40802489.153
-0.208,-0.121,0.045,40802489.157
-0.212,-0.124,0.045,40802489.161
-0.214,-0.125,0.046,40802489.165
-0.217,-0.125,0.046,40802489.169
-0.215,-0.127,0.044,40802489.173
-0.211,-0.127,0.042,40802489.177
-0.201,-0.128,0.037,40802489.181
-0.192,-0.125,0.032,40802489.185
-0.184,-0.125,0.028,40802489.189
-0.178,-0.124,0.025,40802489.193
-0.165,-0.127,0.022,40802489.197
-0.153,-0.133,0.017,40802489.201
-0.138,-0.135,0.014,40802489.205
-0.123,-0.14,0.01,40802489.209
-0.111,-0.147,0.007,40802489.213
-0.101,-0.157,0.003,40802489.217
-0.088,-0.167,-0.002,40802489.221
-0.074,-0.181,-0.008,40802489.225
-0.061,-0.194,-0.013,40802489.229
-0.049,-0.208,-0.016,40802489.233
-0.041,-0.226,-0.016,40802489.237
-0.032,-0.245,-0.021,40802489.241
-0.022,-0.263,-0.028,40802489.245
-0.011,-0.282,-0.034,40802489.249
-0.002,-0.298,-0.036,40802489.253
0.0,-0.315,-0.037,40802489.257
0.001,-0.329,-0.038,40802489.261
0.002,-0.341,-0.039,40802489.265
0.001,-0.354,-0.039,40802489.269
-0.004,-0.366,-0.037,40802489.273
-0.014,-0.375,-0.032,40802489.277
-0.026,-0.383,-0.026,40802489.281
-0.038,-0.388,-0.021,40802489.285
-0.047,-0.392,-0.019,40802489.289
-0.054,-0.393,-0.021,40802489.293
-0.064,-0.392,-0.021,40802489.297
-0.079,-0.388,-0.021,40802489.301
-0.093,-0.381,-0.018,40802489.305
-0.105,-0.373,-0.015,40802489.309
-0.113,-0.365,-0.012,40802489.313
-0.122,-0.355,-0.011,40802489.317
-0.132,-0.342,-0.007,40802489.321
-0.144,-0.327,-0.001,40802489.325
-0.155,-0.312,0.006,40802489.329
-0.159,-0.297,0.012,40802489.333
-0.16,-0.285,0.017,40802489.337
-0.161,-0.27,0.023,40802489.341
-0.163,-0.255,0.026,40802489.345
-0.165,-0.24,0.033,40802489.349
-0.163,-0.224,0.037,40802489.353
-0.155,-0.208,0.038,40802489.357
-0.146,-0.194,0.038,40802489.361
-0.135,-0.182,0.041,40802489.365
-0.126,-0.174,0.045,40802489.369
-0.116,-0.168,0.046,40802489.373
-0.103,-0.163,0.046,40802489.377
-0.088,-0.16,0.044,40802489.381
-0.075,-0.157,0.044,40802489.385
-0.063,-0.156,0.046,40802489.389
-0.052,-0.155,0.046,40802489.393
-0.041,-0.152,0.049,40802489.397
-0.025,-0.152,0.047,40802489.401
-0.01,-0.151,0.042,40802489.405
0.002,-0.151,0.039,40802489.409
0.009,-0.148,0.033,40802489.413
0.015,-0.145,0.025,40802489.417
0.02,-0.142,0.016,40802489.421
0.024,-0.141,0.006,40802489.425
0.026,-0.137,0.0,40802489.429
0.026,-0.138,-0.003,40802489.433
0.025,-0.137,-0.004,40802489.437
0.022,-0.141,-0.007,40802489.441
