x,y,z,ts
-0.245,-0.198,0.143,40795666.312
-0.215,-0.186,0.14,40795666.316
-0.185,-0.178,0.136,40795666.320
-0.159,-0.175,0.133,40795666.324
-0.141,-0.178,0.129,40795666.328
-0.132,-0.183,0.128,40795666.332
-0.129,-0.192,0.13,40795666.336
-0.13,-0.207,0.137,40795666.340
-0.131,-0.224,0.147,40795666.344
-0.139,-0.242,0.157,40795666.348
-0.151,-0.259,0.165,40795666.352
-0.174,-0.276,0.179,40795666.356
-0.205,-0.293,0.197,40795666.360
-0.236,-0.307,0.214,40795666.364
-0.267,-0.319,0.234,40795666.368
-0.297,-0.329,0.253,40795666.372
-0.324,-0.335,0.274,40795666.376
-0.349,-0.338,0.295,40795666.380
-0.371,-0.339,0.319,40795666.384
-0.385,-0.338,0.339,40795666.388
-0.39,-0.331,0.358,40795666.392
-0.389,-0.32,0.374,40795666.396
-0.387,-0.302,0.385,40795666.400
-0.384,-0.278,0.388,40795666.404
-0.38,-0.253,0.388,40795666.408
-0.369,-0.228,0.384,40795666.412
-0.347,-0.204,0.372,40795666.416
-0.321,-0.183,0.356,40795666.420
-0.291,-0.162,0.339,40795666.424
-0.265,-0.148,0.316,40795666.428
-0.238,-0.14,0.296,40795666.432
-0.206,-0.137,0.277,40795666.436
-0.174,-0.142,0.259,40795666.440
-0.141,-0.15,0.243,40795666.444
-0.109,-0.161,0.23,40795666.448
-0.084,-0.175,0.219,40795666.452
-0.067,-0.19,0.211,40795666.456
-0.057,-0.208,0.209,40795666.460
-0.046,-0.225,0.208,40795666.464
-0.041,-0.242,0.207,40795666.468
-0.036,-0.26,0.212,40795666.472
-0.034,-0.278,0.219,40795666.476
-0.032,-0.292,0.224,40795666.480
-0.029,-0.303,0.231,40795666.484
-0.02,-0.311,0.234,40795666.488
-0.011,-0.317,0.235,40795666.492
-0.003,-0.322,0.233,40795666.496
0.003,-0.325,0.232,40795666.500
0.008,-0.324,0.23,40795666.504
0.014,-0.323,0.225,40795666.508
0.022,-0.32,0.217,40795666.512
0.031,-0.317,0.211,40795666.516
0.039,-0.311,0.208,40795666.520
0.044,-0.301,0.205,40795666.524
0.044,-0.29,0.202,40795666.528
0.041,-0.275,0.198,40795666.532
0.037,-0.258,0.196,40795666.536
0.033,-0.241,0.194,40795666.540
0.027,-0.221,0.19,40795666.544
0.021,-0.197,0.186,40795666.548
0.014,-0.17,0.183,40795666.552
0.008,-0.144,0.181,40795666.556
0.01,-0.117,0.179,40795666.560
0.016,-0.087,0.175,40795666.564
0.021,-0.057,0.166,40795666.568
0.02,-0.025,0.154,40795666.572
0.009,0.004,0.14,40795666.577
0.002,0.029,0.129,40795666.580
-0.002,0.049,0.116,40795666.584
-0.0,0.065,0.106,40795666.588
-0.001,0.079,0.096,40795666.592
-0.005,0.088,0.086,40795666.596
-0.012,0.096,0.079,40795666.600
-0.019,0.099,0.073,40795666.604
-0.019,0.097,0.067,40795666.608
-0.011,0.092,0.059,40795666.612
-0.002,0.088,0.051,40795666.616
-0.0,0.087,0.043,40795666.620
0.0,0.089,0.035,40795666.624
0.001,0.091,0.025,40795666.628
0.008,0.098,0.017,40795666.632
0.017,0.099,0.009,40795666.636
0.026,0.104,0.004,40795666.640
0.034,0.107,0.001,40795666.644
0.039,0.109,0.0,40795666.648
0.044,0.107,-0.003,40795666.652
0.051,0.104,-0.005,40795666.656
0.06,0.094,-0.01,40795666.660
0.068,0.084,-0.017,40795666.664
0.072,0.072,-0.024,40795666.668
0.076,0.058,-0.035,40795666.672
0.081,0.048,-0.046,40795666.676
0.082,0.037,-0.058,40795666.680
0.08,0.027,-0.068,40795666.684
0.074,0.017,-0.078,40795666.688
0.063,0.011,-0.082,40795666.692
0.051,0.009,-0.085,40795666.696
0.041,0.007,-0.085,40795666.699
0.033,0.008,-0.085,40795666.704
0.026,0.013,-0.086,40795666.707
0.015,0.022,-0.09,40795666.712
-0.0,0.031,-0.087,40795666.715
-0.016,0.043,-0.088,40795666.720
-0.028,0.056,-0.087,40795666.723
-0.035,0.069,-0.083,40795666.728
-0.038,0.081,-0.081,40795666.731
-0.038,0.093,-0.077,40795666.736
-0.036,0.103,-0.074,40795666.739
-0.031,0.115,-0.071,40795666.744
-0.026,0.131,-0.068,40795666.747
-0.02,0.144,-0.07,40795666.752
-0.004,0.157,-0.076,40795666.755
0.024,0.165,-0.085,40795666.760
0.058,0.176,-0.09,40795666.763
0.087,0.183,-0.094,40795666.768
0.11,0.194,-0.098,40795666.771
0.127,0.203,-0.099,40795666.776
0.139,0.208,-0.103,40795666.779
0.147,0.211,-0.102,40795666.784
0.152,0.213,-0.098,40795666.787
0.154,0.216,-0.091,40795666.792
0.154,0.214,-0.082,40795666.795
0.152,0.21,-0.073,40795666.800
0.148,0.204,-0.063,40795666.803
0.136,0.197,-0.054,40795666.808
0.121,0.188,-0.049,40795666.811
0.103,0.18,-0.042,40795666.816
0.086,0.172,-0.033,40795666.819
0.076,0.166,-0.025,40795666.824
0.071,0.159,-0.017,40795666.827
0.069,0.152,-0.011,40795666.832
0.07,0.146,-0.005,40795666.835
0.069,0.139,-0.001,40795666.840
0.068,0.133,0.002,40795666.843
0.072,0.127,0.004,40795666.848
0.076,0.123,0.005,40795666.851
0.081,0.118,0.006,40795666.856
0.085,0.112,0.005,40795666.859
0.092,0.111,0.003,40795666.864
0.1,0.112,-0.0,40795666.867
0.116,0.116,-0.008,40795666.872
0.137,0.12,-0.017,40795666.875
0.166,0.124,-0.025,40795666.880
0.197,0.128,-0.033,40795666.883
0.225,0.133,-0.044,40795666.888
0.254,0.138,-0.058,40795666.891
0.283,0.146,-0.071,40795666.896
0.308,0.151,-0.082,40795666.899
0.324,0.155,-0.093,40795666.904
0.325,0.159,-0.101,40795666.907
0.315,0.163,-0.107,40795666.912
0.297,0.166,-0.109,40795666.915
0.277,0.163,-0.107,40795666.920
0.256,0.16,-0.1,40795666.923
0.231,0.152,-0.087,40795666.928
0.205,0.142,-0.073,40795666.931
0.18,0.128,-0.059,40795666.936
0.158,0.112,-0.046,40795666.939
0.138,0.095,-0.035,40795666.944
0.12,0.078,-0.026,40795666.947
0.099,0.06,-0.02,40795666.952
0.075,0.042,-0.014,40795666.955
0.051,0.024,-0.008,40795666.960
0.029,0.003,-0.005,40795666.963
0.008,-0.016,-0.002,40795666.968
-0.012,-0.033,0.0,40795666.971
-0.031,-0.049,-0.002,40795666.976
-0.054,-0.065,-0.006,40795666.979
-0.075,-0.079,-0.009,40795666.984
-0.097,-0.088,-0.017,40795666.987
-0.117,-0.094,-0.025,40795666.992
-0.136,-0.096,-0.033,40795666.995
-0.16,-0.097,-0.042,40795667.000
-0.185,-0.096,-0.05,40795667.003
-0.208,-0.094,-0.06,40795667.008
-0.224,-0.089,-0.072,40795667.011
-0.229,-0.088,-0.084,40795667.016
-0.224,-0.082,-0.094,40795667.019
-0.215,-0.077,-0.101,40795667.024
-0.206,-0.072,-0.104,40795667.027
-0.198,-0.061,-0.106,40795667.032
-0.189,-0.044,-0.105,40795667.035
-0.176,-0.024,-0.101,40795667.040
-0.16,-0.0,-0.094,40795667.043
-0.145,0.026,-0.086,40795667.048
-0.131,0.055,-0.078,40795667.051
-0.116,0.084,-0.071,40795667.056
-0.099,0.115,-0.067,40795667.059
-0.081,0.149,-0.062,40795667.064
-0.066,0.183,-0.06,40795667.067
-0.051,0.211,-0.059,40795667.072
-0.033,0.237,-0.056,40795667.075
-0.013,0.257,-0.06,40795667.080
0.008,0.273,-0.066,40795667.083
0.027,0.284,-0.072,40795667.088
0.04,0.29,-0.082,40795667.091
0.047,0.291,-0.091,40795667.096
0.052,0.285,-0.104,40795667.099
0.055,0.275,-0.117,40795667.104
0.061,0.261,-0.133,40795667.107
0.068,0.245,-0.151,40795667.112
0.068,0.225,-0.172,40795667.115
0.065,0.204,-0.193,40795667.120
0.06,0.181,-0.209,40795667.123
0.055,0.157,-0.226,40795667.128
0.052,0.133,-0.242,40795667.131
0.049,0.109,-0.26,40795667.136
0.042,0.085,-0.274,40795667.139
0.034,0.062,-0.282,40795667.144
0.024,0.038,-0.285,40795667.147
0.016,0.016,-0.289,40795667.152
0.013,-0.004,-0.292,40795667.155
0.01,-0.022,-0.296,40795667.160
0.005,-0.037,-0.3,40795667.163
-0.005,-0.053,-0.303,40795667.168
-0.017,-0.065,-0.308,40795667.171
-0.029,-0.075,-0.315,40795667.176
-0.043,-0.086,-0.319,40795667.179
-0.06,-0.096,-0.318,40795667.184
-0.082,-0.105,-0.315,40795667.187
-0.106,-0.112,-0.308,40795667.192
-0.128,-0.118,-0.297,40795667.195
-0.146,-0.124,-0.283,40795667.200
-0.16,-0.126,-0.267,40795667.203
