x,y,z,ts
-0.733,-0.386,0.548,40796039.757
-0.736,-0.388,0.543,40796039.761
-0.74,-0.391,0.542,40796039.765
-0.746,-0.391,0.544,40796039.769
-0.753,-0.383,0.542,40796039.773
-0.755,-0.376,0.547,40796039.777
-0.758,-0.376,0.551,40796039.781
-0.766,-0.379,0.552,40796039.785
-0.772,-0.381,0.558,40796039.789
-0.774,-0.378,0.561,40796039.793
-0.773,-0.374,0.567,40796039.797
-0.771,-0.373,0.57,40796039.801
-0.773,-0.375,0.572,40796039.805
-0.775,-0.377,0.573,40796039.809
-0.775,-0.375,0.57,40796039.813
-0.777,-0.373,0.568,40796039.817
-0.781,-0.376,0.572,40796039.821
-0.785,-0.38,0.577,40796039.825
-0.792,-0.386,0.583,40796039.829
-0.798,-0.383,0.594,40796039.833
-0.803,-0.378,0.605,40796039.837
-0.808,-0.377,0.616,40796039.841
-0.817,-0.379,0.624,40796039.845
-0.824,-0.376,0.635,40796039.849
-0.829,-0.369,0.649,40796039.853
-0.831,-0.364,0.659,40796039.857
-0.832,-0.367,0.668,40796039.861
-0.833,-0.373,0.678,40796039.865
-0.832,-0.375,0.687,40796039.869
-0.833,-0.375,0.697,40796039.873
-0.832,-0.373,0.708,40796039.877
-0.832,-0.378,0.717,40796039.881
-0.837,-0.389,0.727,40796039.885
-0.837,-0.398,0.74,40796039.889
-0.837,-0.406,0.751,40796039.893
-0.831,-0.412,0.763,40796039.897
-0.825,-0.418,0.773,40796039.901
-0.82,-0.421,0.785,40796039.905
-0.817,-0.416,0.801,40796039.909
-0.809,-0.398,0.812,40796039.913
-0.798,-0.381,0.819,40796039.917
-0.786,-0.364,0.826,40796039.921
-0.779,-0.353,0.83,40796039.925
-0.778,-0.342,0.827,40796039.929
-0.778,-0.333,0.828,40796039.933
-0.779,-0.334,0.827,40796039.937
-0.782,-0.34,0.823,40796039.941
-0.786,-0.346,0.823,40796039.945
-0.792,-0.354,0.822,40796039.949
-0.796,-0.354,0.821,40796039.953
-0.795,-0.347,0.817,40796039.957
-0.795,-0.344,0.817,40796039.961
-0.792,-0.341,0.818,40796039.965
-0.79,-0.333,0.82,40796039.969
-0.783,-0.319,0.826,40796039.973
-0.773,-0.298,0.835,40796039.977
-0.761,-0.281,0.842,40796039.981
-0.747,-0.264,0.849,40796039.985
-0.733,-0.252,0.859,40796039.989
-0.722,-0.235,0.866,40796039.993
-0.708,-0.215,0.873,40796039.997
-0.696,-0.202,0.876,40796040.001
-0.682,-0.196,0.88,40796040.005
-0.672,-0.19,0.881,40796040.009
-0.664,-0.182,0.876,40796040.013
-0.655,-0.177,0.879,40796040.017
-0.644,-0.175,0.876,40796040.021
-0.635,-0.175,0.873,40796040.025
-0.627,-0.175,0.866,40796040.029
-0.618,-0.169,0.865,40796040.033
-0.606,-0.159,0.867,40796040.037
-0.593,-0.15,0.864,40796040.041
-0.581,-0.139,0.858,40796040.045
-0.575,-0.126,0.858,40796040.049
-0.573,-0.11,0.852,40796040.053
-0.569,-0.095,0.852,40796040.057
-0.563,-0.091,0.847,40796040.061
-0.56,-0.091,0.846,40796040.065
-0.555,-0.095,0.843,40796040.069
-0.552,-0.093,0.839,40796040.073
-0.548,-0.087,0.836,40796040.077
-0.539,-0.086,0.823,40796040.081
-0.533,-0.084,0.815,40796040.085
