rssi,ts,anchor
-73,40796039.8699999,1010110003
-72,40796040.0699999,1010110004
-78,40796040.8699999,1010110005
-81,40796041.0799999,1010110043
-74,40796041.7900000,1010110043
-70,40796042.1900001,1010110004
-74,40796042.2800000,1010110005
-92,40796042.3599999,1010110001
-85,40796042.4300001,1010110007
-91,40796042.6099999,1010110006
-82,40796042.6800001,1010110044
-73,40796043.3800001,1010110044
-82,40796043.8399999,1010110007
-77,40796043.9000001,1010110043
-84,40796044.5200000,1010110002
-76,40796044.5400000,1010110047
-73,40796044.7900000,1010110044
-83,40796045.0000000,1010110004
-75,40796046.4100001,1010110004
-81,40796046.8699999,1010110049
-82,40796047.1099999,1010110048
-78,40796047.8199999,1010110004
-72,40796048.0699999,1010110007
-70,40796048.9600000,1010110006
-86,40796049.4600000,1010110002
-77,40796049.6900001,1010110049
-81,40796050.8800001,1010110047
-75,40796051.0699999,1010110006
-74,40796051.5899999,1010110047
-72,40796051.5999999,1010110007
-72,40796051.7800000,1010110006
-84,40796051.8399999,1010110044
-75,40796052.4800000,1010110006
-62,40796053.7000000,1010110047
-85,40796053.7100000,1010110007
-69,40796053.8900001,1010110006
-70,40796054.4200001,1010110047
-71,40796056.9800000,1010110048
-72,40796057.2300000,1010110047
-74,40796057.4300001,1010110049
-90,40796058.0000000,1010110043
-67,40796058.3800001,1010110048
-78,40796059.5500000,1010110049
-88,40796060.5000000,1010110048
-67,40796062.3599999,1010110049
-69,40796066.5899999,1010110049
-93,40796066.8399999,1010110048
-87,40796067.0899999,1010110054
-88,40796068.0599999,1010110021
-86,40796068.5000000,1010110047
-84,40796068.8199999,1010110012
-83,40796069.9100001,1010110054
-81,40796070.9300001,1010110012
-74,40796071.7000000,1010110011
-73,40796071.7300000,1010110051
-83,40796071.7700000,1010110048
-86,40796072.4700000,1010110048
-79,40796073.7000000,1010110019
-78,40796073.8399999,1010110051
-91,40796074.4100001,1010110021
-85,40796074.7700000,1010110020
-86,40796075.7000000,1010110018
-92,40796075.8199999,1010110021
-80,40796076.0400000,1010110013
-77,40796076.7400000,1010110013
-82,40796078.7600000,1010110011
-76,40796079.5699999,1010110013
-90,40796080.0500000,1010110021
-89,40796081.4600000,1010110021
-81,40796081.6900001,1010110013
-83,40796082.5999999,1010110054
-73,40796083.3099999,1010110054
-93,40796084.2800000,1010110019
-71,40796084.7400000,1010110055
-76,40796085.4400001,1010110055
-81,40796085.9600000,1010110057
-75,40796086.4300001,1010110056
-62,40796086.8399999,1010110055
-86,40796088.0799999,1010110057
-67,40796088.2600000,1010110055
-70,40796089.6600001,1010110055
-83,40796090.3699999,1010110055
-70,40796090.9100001,1010110057
-90,40796091.7800000,1010110055
-69,40796092.0799999,1010110056
-94,40796093.1800001,1010110030
-91,40796093.5799999,1010110026
-89,40796094.2300000,1010110029
-66,40796094.4300001,1010110057
-87,40796094.5799999,1010110054
-76,40796094.8699999,1010110058
-84,40796094.8699999,1010110028
-68,40796095.8399999,1010110057
-89,40796096.1700001,1010110062
-70,40796096.2800000,1010110058
-79,40796096.7000000,1010110055
-86,40796096.7200000,1010110027
-77,40796097.0000000,1010110056
-78,40796097.6800001,1010110058
-82,40796097.7100000,1010110056
-73,40796099.8000000,1010110058
-72,40796100.1199999,1010110059
-80,40796101.4600000,1010110057
-71,40796102.2400000,1010110059
-81,40796102.8699999,1010110057
-68,40796102.9400001,1010110059
-73,40796103.0100000,1010110060
-72,40796103.7200000,1010110060
-81,40796103.9300001,1010110062
-84,40796104.0200000,1010110058
-89,40796104.8000000,1010110025
-72,40796105.1300001,1010110060
-88,40796107.3099999,1010110027
-86,40796107.9000001,1010110059
-68,40796107.9500000,1010110060
-83,40796108.4200001,1010110063
-88,40796109.0000000,1010110072
-66,40796109.5500000,1010110062
-92,40796110.0899999,1010110030
-76,40796110.2600000,1010110062
-83,40796110.7100000,1010110059
-66,40796111.2800000,1010110061
-63,40796111.9800000,1010110061
-72,40796112.1800001,1010110060
-73,40796112.3800001,1010110062
-88,40796112.5000000,1010110072
-69,40796112.6900001,1010110061
-84,40796113.2500000,1010110025
-75,40796113.5899999,1010110060
-76,40796114.0599999,1010110063
-90,40796114.0699999,1010110074
-69,40796114.4800000,1010110062
-88,40796114.6700001,1010110066
-85,40796114.9400001,1010110059
-75,40796115.5100000,1010110061
-91,40796116.4700000,1010110027
-81,40796116.9200001,1010110061
-80,40796117.6199999,1010110061
-82,40796119.0300000,1010110061
-86,40796119.5599999,1010110072
-83,40796119.7300000,1010110061
-82,40796120.9600000,1010110072
-74,40796121.0899999,1010110063
