x,y,z,ts
-2.76,22.889,59.162,40796039.757
-3.411,22.751,60.689,40796039.761
-3.932,22.641,61.911,40796039.765
-3.5,22.553,63.625,40796039.769
-3.154,22.483,64.997,40796039.773
-2.594,23.061,64.804,40796039.777
-2.146,23.523,64.65,40796039.781
-2.212,23.047,62.684,40796039.785
-2.265,22.666,61.111,40796039.789
-2.874,22.785,59.853,40796039.793
-3.361,22.879,58.846,40796039.797
-4.175,23.378,60.621,40796039.801
-4.826,23.777,62.04,40796039.805
-4.498,23.673,63.36,40796039.809
-4.236,23.59,64.416,40796039.813
-3.742,23.947,64.155,40796039.817
-3.348,24.232,63.947,40796039.821
-2.749,24.037,62.121,40796039.825
-2.27,23.881,60.661,40796039.829
-3.161,23.757,59.124,40796039.833
-3.874,23.657,57.895,40796039.837
-4.585,24.423,59.86,40796039.841
-5.155,25.036,61.431,40796039.845
-4.902,24.892,63.057,40796039.849
-4.7,24.776,64.358,40796039.853
-4.114,24.895,63.556,40796039.857
-3.645,24.991,62.915,40796039.861
-3.27,24.433,60.559,40796039.865
-2.97,23.986,58.674,40796039.869
-3.721,24.052,58.087,40796039.873
-4.322,24.105,57.618,40796039.877
-5.085,24.57,59.454,40796039.881
-5.696,24.942,60.923,40796039.885
-5.335,24.816,62.098,40796039.889
-5.047,24.716,63.037,40796039.893
-4.675,25.27,61.763,40796039.897
-4.377,25.714,60.743,40796039.901
-4.28,25.645,59.005,40796039.905
-4.203,25.591,57.615,40796039.909
-4.848,25.758,57.425,40796039.913
-5.365,25.893,57.272,40796039.917
-5.637,26.423,59.546,40796039.921
-5.854,26.847,61.365,40796039.925
-5.037,26.552,62.083,40796039.929
-4.384,26.316,62.657,40796039.933
-4.144,26.55,60.905,40796039.937
-3.952,26.738,59.504,40796039.941
-3.94,26.465,57.83,40796039.945
-3.931,26.246,56.491,40796039.949
-4.914,27.129,57.078,40796039.953
-5.701,27.834,57.548,40796039.957
-5.906,28.399,59.766,40796039.961
-6.069,28.851,61.541,40796039.965
-5.068,29.212,61.487,40796039.969
-4.267,29.502,61.443,40796039.973
-4.192,29.099,59.197,40796039.977
-4.132,28.776,57.4,40796039.981
-4.367,29.576,56.147,40796039.985
-4.556,30.215,55.145,40796039.989
-5.272,30.515,56.922,40796039.993
-5.846,30.755,58.345,40796039.997
-5.88,30.524,60.404,40796040.001
-5.907,30.34,62.051,40796040.005
-4.655,30.826,61.342,40796040.009
-3.653,31.216,60.774,40796040.013
-3.56,31.527,57.557,40796040.017
-3.485,31.776,54.982,40796040.021
-4.133,31.764,54.581,40796040.025
-4.651,31.754,54.26,40796040.029
-5.207,32.169,56.584,40796040.033
-5.652,32.501,58.442,40796040.037
-5.442,32.556,60.482,40796040.041
-5.274,32.599,62.113,40796040.045
-3.865,33.268,60.47,40796040.049
-2.738,33.803,59.156,40796040.053
-3.252,33.174,56.078,40796040.057
-3.663,32.671,53.615,40796040.061
-4.417,32.903,53.856,40796040.065
-5.02,33.088,54.049,40796040.069
-5.503,33.448,56.23,40796040.073
-5.888,33.736,57.975,40796040.077
-5.772,33.332,59.002,40796040.081
-5.68,33.008,59.824,40796040.085
-4.615,32.75,58.639,40796040.089
-3.762,32.543,57.691,40796040.093
-4.072,32.377,54.906,40796040.097
-4.319,32.245,52.677,40796040.101
-5.366,32.139,53.106,40796040.105
-6.204,32.054,53.449,40796040.109
-6.167,31.987,56.303,40796040.113
-6.137,31.932,58.586,40796040.117
-5.405,32.312,59.491,40796040.121
-4.819,32.615,60.215,40796040.125
-4.209,32.647,58.399,40796040.129
-3.721,32.672,56.946,40796040.133
-4.18,32.692,54.678,40796040.137
-4.548,32.708,52.864,40796040.141
-5.266,32.933,53.992,40796040.145
-5.841,33.112,54.895,40796040.149
-6.301,33.256,56.907,40796040.153
-6.668,33.37,58.516,40796040.157
-6.255,33.251,59.435,40796040.161
-5.924,33.155,60.171,40796040.165
-5.235,33.079,58.732,40796040.169
-4.683,33.017,57.581,40796040.173
-5.233,32.969,55.739,40796040.177
-5.673,32.929,54.265,40796040.181
-6.591,32.898,54.929,40796040.185
-7.325,32.873,55.46,40796040.189
-7.488,32.219,57.359,40796040.193
-7.619,31.695,58.878,40796040.197
-7.298,31.699,59.725,40796040.201
-7.042,31.702,60.402,40796040.205
-5.987,31.282,58.917,40796040.209
-5.144,30.946,57.729,40796040.213
-5.743,30.888,55.305,40796040.217
-6.222,30.842,53.365,40796040.221
-6.889,31.017,54.393,40796040.225
-7.422,31.157,55.216,40796040.229
-7.707,31.057,57.532,40796040.233
-7.935,30.977,59.385,40796040.237
-7.552,31.336,59.946,40796040.241
-7.245,31.624,60.395,40796040.245
-6.716,30.796,58.727,40796040.249
-6.293,30.134,57.393,40796040.253
-6.945,30.028,55.22,40796040.257
-7.467,29.942,53.481,40796040.261
-8.027,29.451,54.118,40796040.265
-8.474,29.058,54.627,40796040.269
-8.69,28.955,56.692,40796040.273
-8.863,28.873,58.345,40796040.277
-8.577,29.653,58.745,40796040.281
-8.348,30.277,59.066,40796040.285
-7.599,29.719,57.664,40796040.289
-6.999,29.272,56.542,40796040.293
-7.51,29.55,54.724,40796040.297
-7.919,29.771,53.269,40796040.301
-8.388,29.526,54.5,40796040.305
-8.763,29.329,55.486,40796040.309
-8.922,28.749,57.564,40796040.313
-9.048,28.285,59.226,40796040.317
-8.584,28.971,59.635,40796040.321
-8.212,29.52,59.962,40796040.325
-7.631,28.691,58.381,40796040.329
-7.167,28.027,57.116,40796040.333
-7.927,28.13,55.551,40796040.337
-8.536,28.213,54.299,40796040.341
-9.165,28.491,55.693,40796040.345
-9.668,28.713,56.808,40796040.349
-9.362,28.468,58.438,40796040.353
-9.118,28.271,59.741,40796040.357
-8.639,28.326,59.125,40796040.361
-8.256,28.369,58.633,40796040.365
-7.667,28.193,56.949,40796040.369
-7.195,28.052,55.602,40796040.373
-8.092,27.516,54.155,40796040.377
-8.809,27.087,52.998,40796040.381
-9.242,27.378,55.021,40796040.385
-9.587,27.612,56.639,40796040.389
-9.156,27.164,57.934,40796040.393
-8.812,26.805,58.969,40796040.397
-8.677,27.153,57.771,40796040.401
-8.57,27.431,56.812,40796040.405
-8.201,27.865,55.124,40796040.409
-7.905,28.212,53.773,40796040.413
-8.66,27.856,54.167,40796040.417
-9.264,27.571,54.482,40796040.421
-9.888,28.4,57.129,40796040.425
-10.388,29.063,59.247,40796040.429
-9.514,29.17,59.651,40796040.433
-8.814,29.257,59.975,40796040.437
-8.679,29.537,58.023,40796040.441
-8.571,29.761,56.461,40796040.445
-8.485,29.518,55.211,40796040.449
-8.416,29.323,54.212,40796040.453
-9.493,29.379,55.07,40796040.457
-10.355,29.423,55.757,40796040.461
-10.478,29.67,58.15,40796040.465
-10.577,29.868,60.063,40796040.469
-9.099,29.814,59.752,40796040.473
-7.916,29.772,59.502,40796040.477
-7.678,29.526,57.092,40796040.481
-7.487,29.33,55.163,40796040.485
-8.042,29.173,53.62,40796040.489
-8.486,29.047,52.386,40796040.493
-9.266,29.158,54.347,40796040.497
-9.891,29.246,55.916,40796040.501
-9.965,29.317,58.276,40796040.505
-10.025,29.374,60.165,40796040.509
-8.798,29.842,59.464,40796040.513
-7.817,30.217,58.904,40796040.517
-8.023,29.671,55.876,40796040.521
-8.188,29.234,53.454,40796040.525
-8.745,29.096,52.805,40796040.529
-9.19,28.986,52.287,40796040.533
-9.829,28.686,54.636,40796040.537
-10.341,28.446,56.516,40796040.541
-10.325,28.254,58.941,40796040.545
-10.313,28.101,60.88,40796040.549
-9.029,28.401,60.037,40796040.553
-8.002,28.641,59.362,40796040.557
-8.029,28.621,56.795,40796040.561
-8.051,28.606,54.742,40796040.565
-8.635,28.805,54.389,40796040.569
-9.103,28.964,54.106,40796040.573
-9.476,28.88,56.276,40796040.577
-9.775,28.813,58.012,40796040.581
-9.731,28.548,59.769,40796040.585
-9.696,28.335,61.175,40796040.589
-8.819,28.377,60.272,40796040.593
-8.117,28.41,59.55,40796040.597
-8.263,28.226,56.762,40796040.601
-8.38,28.078,54.531,40796040.605
-8.898,28.594,54.036,40796040.609
-9.313,29.007,53.64,40796040.613
-9.644,29.337,55.903,40796040.617
-9.91,29.601,57.713,40796040.621
-9.414,29.178,59.53,40796040.625
-9.018,28.84,60.983,40796040.629
-7.993,29.204,59.382,40796040.633
-7.173,29.495,58.101,40796040.637
-7.366,29.093,55.418,40796040.641
-7.521,28.772,53.271,40796040.645
-7.928,28.726,53.397,40796040.649
-8.253,28.69,53.497,40796040.653
-8.655,29.083,55.42,40796040.657
-8.977,29.398,56.958,40796040.661
-8.668,29.439,58.926,40796040.665
-8.421,29.471,60.5,40796040.669
-7.232,29.92,58.996,40796040.673
-6.281,30.279,57.792,40796040.677
-6.511,29.932,54.802,40796040.681
-6.695,29.655,52.41,40796040.685
-7.267,29.644,52.524,40796040.689
