rssi,ts,anchor
-91,17356574.1754811,1008110009
-85,17356574.2413137,1008110016
-79,17356574.6544781,1008110010
-67,17356574.7253642,1008110014
-80,17356575.0831602,1008110017
-90,17356575.1169193,1008110034
-79,17356575.1684277,1008110011
-75,17356575.2643180,1008110005
-90,17356575.8963468,1008110006
-73,17356577.1464207,1008110013
-71,17356577.6112342,1008110012
-70,17356577.7673810,1008110016
-75,17356577.9931786,1008110011
-82,17356578.0864034,1008110005
-89,17356578.1518996,1008110002
-81,17356578.4146976,1008110009
-76,17356578.5602777,1008110013
-86,17356578.6461232,1008110018
-89,17356578.8087327,1008110019
-69,17356578.9599719,1008110014
-86,17356579.2171731,1008120002
-72,17356579.2194505,1008110015
-79,17356579.3158505,1008110017
-72,17356580.5887249,1008110016
-71,17356580.6301236,1008110015
-82,17356580.7270014,1008110007
-84,17356580.9094098,1008110005
-93,17356581.1484485,1008120001
-87,17356581.2271910,1008110009
-82,17356581.3897743,1008110013
-90,17356581.4350629,1008110003
-88,17356581.4500914,1008110034
-85,17356581.5331445,1008110006
-83,17356581.6746984,1008110002
-81,17356581.7135067,1008110010
-71,17356581.8361506,1008110012
-86,17356581.8981359,1008110021
-80,17356582.1360035,1008110017
-90,17356582.4318657,1008110024
-82,17356582.9156201,1008110011
-68,17356583.1788542,1008110014
-72,17356583.4569943,1008110015
-73,17356583.5072432,1008110013
-85,17356583.5446217,1008110007
-87,17356583.5499575,1008110003
-78,17356583.7311394,1008110005
-89,17356583.7893991,1008110002
-73,17356584.1037197,1008110016
-80,17356584.3206034,1008110011
-88,17356584.3447068,1008110006
-79,17356584.4405603,1008110019
-66,17356584.6503446,1008110012
-88,17356585.2447970,1008110024
-86,17356585.4649858,1008110009
-87,17356585.5598044,1008120002
-88,17356585.5756354,1008110022
-63,17356586.2694774,1008110015
-70,17356586.3144238,1008110013
-84,17356586.6573255,1008110010
-61,17356586.9265728,1008110016
-83,17356586.9648769,1008120002
-78,17356587.1384580,1008110011
-70,17356587.4690299,1008110012
-88,17356587.6869111,1008110022
-84,17356587.9535422,1008110005
-89,17356587.9844897,1008110019
-87,17356588.0059965,1008110002
-77,17356588.1075432,1008110014
-90,17356588.4849474,1008110003
-86,17356588.8844466,1008120001
-84,17356589.6563065,1008110021
-89,17356589.7146699,1008110036
-63,17356589.7394383,1008110016
-73,17356589.8406522,1008110013
-82,17356589.9299870,1008110018
-84,17356590.2274284,1008110014
-77,17356590.2894189,1008110012
-85,17356590.8831477,1008110024
-88,17356591.3657186,1008110011
-77,17356591.5132174,1008110019
-93,17356591.6475306,1008110028
-60,17356592.0116272,1008110017
-89,17356592.2974727,1008110010
-74,17356592.5649562,1008110016
-81,17356592.6254189,1008110015
-77,17356592.6607845,1008110013
-67,17356592.7137585,1008110017
-80,17356592.7460642,1008110018
-81,17356593.0554235,1008110014
-85,17356593.2274425,1008110020
-89,17356593.4390099,1008110007
-88,17356593.4938838,1008110006
-79,17356593.6211159,1008110019
-78,17356593.8053520,1008110012
