x,y,z,ts
5.386,-1.436,16.158,17356574.692
9.336,-2.585,29.623,17356574.694
12.495,-3.504,40.395,17356574.695
15.023,-4.24,49.012,17356574.697
17.045,-4.828,55.906,17356574.698
18.663,-5.299,61.421,17356574.700
19.957,-5.675,65.833,17356574.701
20.993,-5.976,69.363,17356574.703
21.821,-6.576,72.366,17356574.705
22.484,-7.056,74.769,17356574.707
23.014,-7.44,76.691,17356574.709
23.438,-7.748,78.229,17356574.710
23.777,-7.993,79.459,17356574.712
23.69,-8.011,80.264,17356574.714
23.62,-8.024,80.907,17356574.715
23.563,-8.035,81.422,17356574.718
23.519,-8.044,81.834,17356574.719
23.483,-8.051,82.164,17356574.722
23.454,-8.236,82.607,17356574.724
23.431,-8.384,82.962,17356574.726
23.413,-8.503,83.245,17356574.728
23.398,-8.597,83.472,17356574.729
23.386,-8.673,83.654,17356574.732
23.736,-8.195,83.619,17356574.734
24.015,-7.813,83.592,17356574.736
24.239,-7.507,83.57,17356574.738
24.418,-7.262,83.552,17356574.740
24.562,-7.067,83.538,17356574.742
24.317,-7.449,83.347,17356574.744
24.121,-7.754,83.195,17356574.746
23.965,-7.999,83.073,17356574.748
23.84,-8.194,82.975,17356574.750
23.74,-8.351,82.897,17356574.752
23.48,-8.117,83.014,17356574.754
23.272,-7.93,83.108,17356574.756
23.106,-7.78,83.182,17356574.758
22.973,-7.66,83.242,17356574.760
22.867,-7.564,83.29,17356574.762
23.32,-7.488,83.329,17356574.764
23.683,-7.427,83.359,17356574.766
23.973,-7.377,83.384,17356574.768
24.206,-7.338,83.404,17356574.770
24.391,-7.307,83.419,17356574.772
24.54,-7.102,83.611,17356574.774
24.659,-6.938,83.765,17356574.775
24.754,-6.807,83.888,17356574.777
24.83,-6.703,83.986,17356574.779
24.891,-6.619,84.065,17356574.782
24.94,-7.09,83.769,17356574.784
24.979,-7.468,83.532,17356574.785
25.01,-7.769,83.342,17356574.788
25.035,-8.011,83.191,17356574.790
25.055,-8.204,83.07,17356574.792
24.891,-7.999,82.972,17356574.794
24.76,-7.836,82.895,17356574.796
24.655,-7.705,82.833,17356574.798
24.572,-7.6,82.783,17356574.800
24.505,-7.516,82.743,17356574.802
24.272,-7.808,82.712,17356574.804
24.085,-8.042,82.686,17356574.806
23.936,-8.229,82.666,17356574.808
23.817,-8.378,82.649,17356574.810
23.721,-8.498,82.636,17356574.812
23.824,-7.876,82.806,17356574.814
23.907,-7.378,82.941,17356574.816
23.973,-6.979,83.049,17356574.818
24.025,-6.661,83.136,17356574.820
24.068,-6.406,83.205,17356574.822
24.102,-6.561,83.26,17356574.824
24.129,-6.685,83.305,17356574.826
24.15,-6.784,83.34,17356574.828
24.168,-6.864,83.369,17356574.830
24.181,-6.927,83.391,17356574.831
24.551,-6.978,83.23,17356574.834
24.848,-7.019,83.101,17356574.836
25.084,-7.051,82.997,17356574.838
25.274,-7.077,82.915,17356574.839
25.426,-7.098,82.849,17356574.842
25.008,-7.294,82.796,17356574.844
24.674,-7.451,82.754,17356574.846
24.407,-7.577,82.72,17356574.848
24.194,-7.677,82.693,17356574.850
24.023,-7.757,82.671,17356574.851
24.066,-7.642,83.192,17356574.854
24.1,-7.55,83.609,17356574.856
24.127,-7.476,83.943,17356574.857
24.149,-7.417,84.21,17356574.860
