x,y,z,ts
0.002,0.002,-0.001,17357203.223
0.002,0.001,-0.003,17357203.225
0.002,0.001,-0.003,17357203.226
0.0,0.001,-0.002,17357203.228
0.001,0.001,-0.002,17357203.229
0.001,0.002,-0.002,17357203.231
0.0,0.002,-0.002,17357203.232
0.0,0.001,-0.002,17357203.234
0.0,0.002,-0.002,17357203.237
0.0,0.001,-0.002,17357203.238
0.001,-0.0,-0.002,17357203.240
0.001,-0.0,-0.002,17357203.241
0.002,-0.0,-0.003,17357203.243
0.002,-0.001,-0.003,17357203.245
0.003,0.0,-0.003,17357203.247
0.001,-0.0,-0.001,17357203.249
0.0,0.0,-0.001,17357203.251
0.001,0.001,-0.002,17357203.253
0.0,0.001,-0.001,17357203.255
0.0,-0.0,-0.001,17357203.257
0.0,-0.001,-0.002,17357203.259
0.0,-0.001,-0.002,17357203.261
-0.0,-0.0,-0.003,17357203.263
-0.001,-0.0,-0.003,17357203.265
-0.001,-0.0,-0.003,17357203.267
-0.001,0.001,-0.003,17357203.269
0.0,0.0,-0.003,17357203.271
0.0,-0.0,-0.003,17357203.273
-0.001,0.001,-0.004,17357203.275
-0.002,0.003,-0.004,17357203.277
-0.001,0.003,-0.002,17357203.279
-0.0,0.003,-0.003,17357203.281
0.0,0.001,-0.005,17357203.283
-0.0,0.0,-0.003,17357203.285
0.0,0.0,-0.002,17357203.287
0.001,-0.001,-0.002,17357203.289
-0.0,0.001,-0.002,17357203.291
0.001,0.0,-0.002,17357203.293
0.001,-0.001,-0.002,17357203.295
0.0,0.001,-0.001,17357203.297
-0.0,0.001,-0.001,17357203.299
0.0,0.001,-0.001,17357203.301
0.001,0.001,-0.001,17357203.303
0.0,0.0,-0.002,17357203.305
0.001,0.0,-0.002,17357203.307
0.002,0.001,-0.002,17357203.309
0.001,0.002,-0.001,17357203.311
0.0,0.003,-0.001,17357203.313
0.0,0.003,-0.002,17357203.315
0.0,0.002,-0.002,17357203.317
0.0,0.001,-0.004,17357203.319
0.0,0.001,-0.003,17357203.321
0.0,0.002,-0.003,17357203.323
-0.0,0.001,-0.004,17357203.325
0.0,-0.001,-0.003,17357203.327
-0.0,0.0,-0.002,17357203.329
-0.0,0.0,-0.002,17357203.331
0.001,-0.0,-0.004,17357203.333
0.001,0.0,-0.003,17357203.335
