x,y,z,ts
-0.493,-0.302,0.76,40798377.611
-0.505,-0.305,0.76,40798377.615
-0.514,-0.302,0.762,40798377.619
-0.516,-0.305,0.763,40798377.623
-0.516,-0.311,0.763,40798377.627
-0.515,-0.315,0.76,40798377.631
-0.511,-0.315,0.754,40798377.635
-0.501,-0.317,0.754,40798377.639
-0.494,-0.324,0.747,40798377.643
-0.493,-0.333,0.747,40798377.647
-0.492,-0.335,0.746,40798377.651
-0.49,-0.334,0.743,40798377.655
-0.483,-0.342,0.739,40798377.659
-0.482,-0.352,0.742,40798377.663
-0.481,-0.354,0.743,40798377.667
-0.481,-0.349,0.742,40798377.671
-0.479,-0.347,0.743,40798377.675
-0.479,-0.349,0.746,40798377.679
-0.484,-0.348,0.745,40798377.683
-0.49,-0.34,0.748,40798377.687
-0.494,-0.333,0.751,40798377.691
-0.499,-0.333,0.756,40798377.695
-0.504,-0.337,0.758,40798377.699
-0.513,-0.333,0.759,40798377.703
-0.518,-0.323,0.76,40798377.707
-0.522,-0.319,0.76,40798377.711
-0.527,-0.321,0.758,40798377.715
-0.534,-0.32,0.761,40798377.719
-0.542,-0.314,0.76,40798377.723
-0.541,-0.309,0.762,40798377.727
-0.544,-0.311,0.763,40798377.731
-0.546,-0.311,0.768,40798377.735
-0.546,-0.307,0.765,40798377.739
-0.544,-0.295,0.766,40798377.743
-0.537,-0.29,0.769,40798377.747
-0.536,-0.293,0.769,40798377.751
-0.539,-0.293,0.765,40798377.755
-0.541,-0.288,0.763,40798377.759
-0.542,-0.285,0.759,40798377.763
-0.544,-0.29,0.757,40798377.767
-0.545,-0.296,0.759,40798377.771
-0.549,-0.296,0.76,40798377.775
-0.549,-0.294,0.758,40798377.779
-0.544,-0.299,0.757,40798377.783
-0.539,-0.305,0.754,40798377.787
-0.542,-0.31,0.752,40798377.791
-0.543,-0.31,0.748,40798377.795
-0.542,-0.306,0.746,40798377.799
-0.537,-0.312,0.748,40798377.803
-0.535,-0.318,0.743,40798377.807
-0.533,-0.315,0.741,40798377.811
-0.527,-0.309,0.743,40798377.815
-0.523,-0.306,0.74,40798377.819
-0.521,-0.31,0.738,40798377.823
-0.526,-0.309,0.742,40798377.827
-0.526,-0.304,0.743,40798377.831
-0.525,-0.301,0.745,40798377.835
-0.525,-0.309,0.74,40798377.839
-0.528,-0.317,0.735,40798377.843
-0.533,-0.315,0.736,40798377.847
-0.532,-0.312,0.732,40798377.851
-0.525,-0.319,0.73,40798377.855
-0.524,-0.332,0.726,40798377.859
-0.527,-0.335,0.725,40798377.863
-0.529,-0.335,0.723,40798377.867
-0.529,-0.338,0.72,40798377.871
-0.528,-0.346,0.721,40798377.875
-0.53,-0.356,0.719,40798377.879
-0.531,-0.355,0.724,40798377.883
-0.532,-0.349,0.727,40798377.887
-0.531,-0.349,0.731,40798377.891
-0.528,-0.358,0.73,40798377.895
-0.531,-0.36,0.732,40798377.899
-0.531,-0.354,0.739,40798377.903
-0.525,-0.353,0.742,40798377.907
-0.523,-0.362,0.742,40798377.911
-0.525,-0.371,0.74,40798377.915
-0.528,-0.367,0.742,40798377.919
-0.526,-0.362,0.74,40798377.923
-0.525,-0.365,0.733,40798377.927
-0.525,-0.371,0.732,40798377.931
-0.528,-0.372,0.73,40798377.935
-0.525,-0.365,0.732,40798377.939
-0.521,-0.361,0.728,40798377.943
-0.52,-0.366,0.724,40798377.947
-0.522,-0.367,0.729,40798377.951
-0.526,-0.361,0.729,40798377.955
-0.524,-0.351,0.729,40798377.959
-0.521,-0.347,0.729,40798377.963
-0.52,-0.349,0.724,40798377.967
-0.526,-0.345,0.726,40798377.971
-0.528,-0.338,0.725,40798377.975
-0.527,-0.34,0.727,40798377.979
-0.527,-0.345,0.727,40798377.983
-0.532,-0.345,0.722,40798377.987
-0.534,-0.338,0.721,40798377.991
-0.536,-0.334,0.725,40798377.995
-0.539,-0.336,0.724,40798377.999
-0.542,-0.342,0.72,40798378.003
-0.549,-0.341,0.72,40798378.007
-0.55,-0.336,0.718,40798378.011
-0.549,-0.335,0.715,40798378.015
-0.554,-0.342,0.716,40798378.019
-0.557,-0.346,0.716,40798378.023
-0.558,-0.342,0.714,40798378.027
-0.558,-0.337,0.715,40798378.031
-0.555,-0.343,0.711,40798378.035
-0.554,-0.35,0.712,40798378.039
-0.555,-0.352,0.714,40798378.043
-0.554,-0.347,0.713,40798378.047
-0.551,-0.35,0.708,40798378.051
-0.551,-0.36,0.705,40798378.055
-0.551,-0.366,0.704,40798378.059
-0.55,-0.366,0.708,40798378.063
-0.546,-0.365,0.706,40798378.067
-0.541,-0.369,0.706,40798378.071
-0.541,-0.376,0.706,40798378.075
-0.542,-0.38,0.706,40798378.079
-0.539,-0.375,0.706,40798378.083
-0.534,-0.379,0.705,40798378.087
-0.531,-0.386,0.703,40798378.091
-0.531,-0.388,0.702,40798378.095
-0.53,-0.383,0.702,40798378.099
-0.526,-0.385,0.703,40798378.103
-0.526,-0.388,0.702,40798378.107
-0.525,-0.394,0.707,40798378.111
-0.527,-0.395,0.71,40798378.115
-0.527,-0.393,0.709,40798378.119
-0.527,-0.395,0.706,40798378.123
-0.533,-0.404,0.708,40798378.127
-0.539,-0.404,0.707,40798378.131
-0.543,-0.397,0.709,40798378.135
-0.546,-0.394,0.713,40798378.139
-0.548,-0.402,0.711,40798378.143
-0.554,-0.406,0.709,40798378.147
-0.562,-0.401,0.71,40798378.151
-0.564,-0.398,0.714,40798378.155
-0.567,-0.4,0.718,40798378.159
-0.573,-0.406,0.723,40798378.163
-0.577,-0.407,0.726,40798378.167
-0.581,-0.403,0.73,40798378.171
-0.577,-0.401,0.734,40798378.176
-0.573,-0.406,0.735,40798378.179
-0.572,-0.41,0.738,40798378.183
-0.572,-0.406,0.739,40798378.187
-0.572,-0.4,0.745,40798378.191
-0.568,-0.402,0.747,40798378.195
-0.563,-0.408,0.748,40798378.199
-0.562,-0.406,0.748,40798378.203
-0.561,-0.402,0.751,40798378.207
-0.558,-0.406,0.75,40798378.211
-0.553,-0.413,0.75,40798378.215
-0.552,-0.419,0.75,40798378.219
-0.553,-0.416,0.755,40798378.223
-0.551,-0.412,0.758,40798378.227
-0.547,-0.411,0.754,40798378.231
-0.547,-0.417,0.755,40798378.235
-0.551,-0.415,0.756,40798378.239
-0.549,-0.412,0.756,40798378.243
-0.545,-0.412,0.759,40798378.247
-0.545,-0.418,0.758,40798378.251
-0.546,-0.425,0.758,40798378.255
-0.55,-0.422,0.757,40798378.259
-0.554,-0.422,0.755,40798378.263
-0.558,-0.43,0.755,40798378.267
-0.564,-0.44,0.754,40798378.271
-0.572,-0.445,0.755,40798378.275
-0.578,-0.447,0.756,40798378.279
-0.581,-0.456,0.756,40798378.283
-0.584,-0.47,0.759,40798378.287
-0.586,-0.477,0.769,40798378.291
-0.587,-0.473,0.771,40798378.295
-0.584,-0.471,0.769,40798378.299
-0.576,-0.476,0.77,40798378.303
-0.574,-0.481,0.773,40798378.307
-0.575,-0.482,0.779,40798378.311
-0.571,-0.479,0.785,40798378.315
-0.568,-0.48,0.79,40798378.319
-0.562,-0.488,0.794,40798378.323
-0.561,-0.492,0.8,40798378.327
-0.556,-0.485,0.803,40798378.331
-0.546,-0.479,0.804,40798378.335
-0.537,-0.48,0.807,40798378.339
-0.53,-0.484,0.809,40798378.343
-0.52,-0.484,0.811,40798378.347
-0.509,-0.479,0.812,40798378.351
-0.497,-0.479,0.811,40798378.355
-0.488,-0.481,0.809,40798378.359
-0.486,-0.473,0.804,40798378.363
-0.483,-0.457,0.802,40798378.367
-0.476,-0.447,0.798,40798378.371
-0.47,-0.447,0.799,40798378.375
-0.468,-0.45,0.799,40798378.379
-0.47,-0.449,0.797,40798378.383
-0.472,-0.443,0.798,40798378.387
-0.471,-0.443,0.798,40798378.391
-0.479,-0.448,0.797,40798378.395
-0.485,-0.448,0.797,40798378.399
-0.49,-0.44,0.804,40798378.403
-0.485,-0.436,0.81,40798378.407
-0.48,-0.439,0.815,40798378.411
-0.477,-0.442,0.819,40798378.415
-0.47,-0.438,0.823,40798378.419
-0.461,-0.428,0.829,40798378.423
-0.45,-0.43,0.829,40798378.427
-0.442,-0.435,0.83,40798378.431
-0.433,-0.439,0.831,40798378.435
-0.425,-0.438,0.835,40798378.439
-0.412,-0.44,0.837,40798378.443
-0.398,-0.448,0.836,40798378.447
-0.388,-0.451,0.838,40798378.451
-0.381,-0.448,0.839,40798378.455
-0.367,-0.442,0.835,40798378.459
-0.357,-0.447,0.83,40798378.463
-0.348,-0.457,0.823,40798378.467
-0.342,-0.459,0.821,40798378.471
-0.334,-0.456,0.812,40798378.475
-0.324,-0.452,0.809,40798378.479
-0.32,-0.458,0.803,40798378.483
-0.319,-0.465,0.794,40798378.487
-0.32,-0.466,0.786,40798378.491
-0.318,-0.466,0.779,40798378.495
-0.316,-0.475,0.774,40798378.499
-0.317,-0.487,0.766,40798378.503
-0.319,-0.491,0.762,40798378.507
-0.321,-0.49,0.763,40798378.511
-0.318,-0.492,0.763,40798378.515
-0.317,-0.501,0.756,40798378.519
-0.319,-0.506,0.754,40798378.523
-0.323,-0.508,0.752,40798378.528
-0.321,-0.507,0.75,40798378.531
-0.317,-0.514,0.748,40798378.535
