x,y,z,ts
0.096,0.134,-0.053,40798377.611
0.06,0.123,-0.062,40798377.615
0.026,0.101,-0.066,40798377.619
-0.008,0.073,-0.062,40798377.623
-0.038,0.044,-0.051,40798377.627
-0.06,0.014,-0.042,40798377.631
-0.08,-0.012,-0.035,40798377.635
-0.102,-0.036,-0.026,40798377.639
-0.122,-0.053,-0.022,40798377.643
-0.134,-0.062,-0.021,40798377.647
-0.138,-0.066,-0.017,40798377.651
-0.137,-0.063,-0.017,40798377.655
-0.13,-0.057,-0.012,40798377.659
-0.113,-0.045,-0.006,40798377.663
-0.09,-0.029,-0.001,40798377.667
-0.064,-0.014,0.003,40798377.671
-0.042,0.0,0.005,40798377.675
-0.02,0.018,0.004,40798377.679
0.004,0.034,-0.0,40798377.683
0.029,0.047,-0.007,40798377.687
0.049,0.056,-0.015,40798377.691
0.065,0.065,-0.023,40798377.695
0.077,0.07,-0.029,40798377.699
0.092,0.072,-0.035,40798377.703
0.102,0.068,-0.042,40798377.707
0.103,0.061,-0.049,40798377.711
0.099,0.052,-0.054,40798377.715
0.099,0.04,-0.062,40798377.719
0.101,0.027,-0.07,40798377.723
0.102,0.013,-0.078,40798377.727
0.101,-0.001,-0.084,40798377.731
0.104,-0.012,-0.09,40798377.735
0.114,-0.024,-0.097,40798377.739
0.12,-0.033,-0.101,40798377.743
0.119,-0.041,-0.106,40798377.747
0.114,-0.046,-0.106,40798377.751
0.113,-0.053,-0.107,40798377.755
0.113,-0.058,-0.11,40798377.759
0.111,-0.062,-0.109,40798377.763
0.108,-0.066,-0.107,40798377.767
0.111,-0.073,-0.109,40798377.771
0.119,-0.081,-0.113,40798377.775
0.121,-0.089,-0.118,40798377.779
0.118,-0.095,-0.125,40798377.783
0.113,-0.098,-0.13,40798377.787
0.119,-0.102,-0.139,40798377.791
0.127,-0.105,-0.146,40798377.795
0.133,-0.107,-0.15,40798377.799
0.136,-0.106,-0.154,40798377.803
0.142,-0.102,-0.16,40798377.807
0.148,-0.096,-0.165,40798377.811
0.153,-0.088,-0.169,40798377.815
0.151,-0.075,-0.172,40798377.819
0.144,-0.064,-0.175,40798377.823
0.139,-0.055,-0.175,40798377.827
0.135,-0.049,-0.173,40798377.831
0.123,-0.045,-0.17,40798377.835
0.11,-0.041,-0.164,40798377.839
0.096,-0.043,-0.157,40798377.843
0.082,-0.048,-0.152,40798377.847
0.065,-0.054,-0.15,40798377.851
0.043,-0.06,-0.149,40798377.855
0.021,-0.066,-0.151,40798377.859
0.004,-0.071,-0.156,40798377.863
-0.012,-0.079,-0.16,40798377.867
-0.029,-0.086,-0.166,40798377.871
-0.044,-0.094,-0.168,40798377.875
-0.053,-0.097,-0.173,40798377.879
-0.055,-0.102,-0.178,40798377.883
-0.06,-0.104,-0.184,40798377.887
-0.071,-0.107,-0.192,40798377.891
-0.081,-0.107,-0.199,40798377.895
-0.087,-0.111,-0.206,40798377.899
-0.093,-0.116,-0.211,40798377.903
-0.103,-0.122,-0.214,40798377.907
-0.114,-0.124,-0.216,40798377.911
-0.121,-0.127,-0.214,40798377.915
-0.12,-0.13,-0.215,40798377.919
-0.12,-0.131,-0.214,40798377.923
-0.122,-0.131,-0.214,40798377.927
-0.122,-0.128,-0.213,40798377.931
-0.114,-0.122,-0.215,40798377.935
-0.107,-0.116,-0.217,40798377.939
-0.106,-0.107,-0.22,40798377.943
-0.107,-0.097,-0.225,40798377.947
-0.103,-0.087,-0.228,40798377.951
-0.096,-0.077,-0.233,40798377.955
-0.09,-0.066,-0.236,40798377.959
-0.09,-0.057,-0.238,40798377.963
-0.093,-0.044,-0.24,40798377.967
-0.092,-0.031,-0.24,40798377.971
-0.091,-0.018,-0.239,40798377.975
-0.093,-0.008,-0.236,40798377.979
-0.094,0.005,-0.236,40798377.983
-0.092,0.015,-0.232,40798377.987
-0.089,0.025,-0.231,40798377.991
-0.092,0.031,-0.229,40798377.995
-0.098,0.039,-0.225,40798377.999
-0.103,0.045,-0.222,40798378.003
-0.105,0.046,-0.219,40798378.007
-0.108,0.043,-0.22,40798378.011
-0.117,0.041,-0.221,40798378.015
-0.126,0.034,-0.223,40798378.019
-0.132,0.027,-0.227,40798378.023
-0.139,0.017,-0.232,40798378.027
-0.151,0.007,-0.234,40798378.031
-0.165,-0.003,-0.233,40798378.035
-0.176,-0.012,-0.231,40798378.039
-0.183,-0.023,-0.229,40798378.043
-0.192,-0.035,-0.226,40798378.047
-0.206,-0.047,-0.22,40798378.051
-0.216,-0.058,-0.219,40798378.055
-0.22,-0.069,-0.218,40798378.059
-0.222,-0.078,-0.217,40798378.063
-0.228,-0.084,-0.216,40798378.067
-0.237,-0.088,-0.217,40798378.071
-0.241,-0.093,-0.219,40798378.075
-0.238,-0.096,-0.22,40798378.079
-0.237,-0.098,-0.22,40798378.083
-0.236,-0.097,-0.218,40798378.087
-0.234,-0.094,-0.215,40798378.091
-0.229,-0.088,-0.214,40798378.095
-0.223,-0.079,-0.21,40798378.099
-0.222,-0.067,-0.205,40798378.103
-0.221,-0.049,-0.198,40798378.107
-0.217,-0.031,-0.191,40798378.111
-0.211,-0.012,-0.19,40798378.115
-0.206,0.009,-0.188,40798378.119
-0.2,0.03,-0.184,40798378.123
-0.192,0.051,-0.18,40798378.127
-0.18,0.071,-0.174,40798378.131
-0.172,0.088,-0.168,40798378.135
-0.17,0.103,-0.165,40798378.139
-0.169,0.116,-0.163,40798378.143
-0.164,0.128,-0.161,40798378.147
-0.158,0.135,-0.162,40798378.151
-0.155,0.139,-0.164,40798378.155
-0.158,0.143,-0.165,40798378.159
-0.157,0.143,-0.163,40798378.163
-0.15,0.14,-0.162,40798378.167
-0.14,0.134,-0.16,40798378.171
-0.139,0.128,-0.159,40798378.176
-0.142,0.124,-0.158,40798378.179
-0.142,0.12,-0.159,40798378.183
-0.139,0.112,-0.161,40798378.187
-0.143,0.106,-0.161,40798378.191
-0.148,0.102,-0.16,40798378.195
-0.154,0.099,-0.158,40798378.199
-0.156,0.096,-0.156,40798378.203
-0.158,0.095,-0.154,40798378.207
-0.162,0.093,-0.152,40798378.211
-0.164,0.094,-0.147,40798378.215
-0.164,0.094,-0.143,40798378.219
-0.159,0.094,-0.141,40798378.223
-0.158,0.093,-0.137,40798378.227
-0.159,0.096,-0.133,40798378.231
-0.159,0.101,-0.13,40798378.235
-0.155,0.103,-0.127,40798378.239
-0.156,0.107,-0.128,40798378.243
-0.165,0.11,-0.126,40798378.247
-0.172,0.114,-0.124,40798378.251
-0.174,0.12,-0.122,40798378.255
-0.177,0.124,-0.118,40798378.259
-0.187,0.124,-0.114,40798378.263
-0.197,0.124,-0.109,40798378.267
-0.206,0.122,-0.105,40798378.271
-0.208,0.117,-0.103,40798378.275
-0.208,0.109,-0.104,40798378.279
-0.209,0.098,-0.109,40798378.283
-0.206,0.085,-0.116,40798378.287
-0.193,0.072,-0.123,40798378.291
-0.175,0.059,-0.129,40798378.295
-0.159,0.046,-0.135,40798378.299
-0.145,0.036,-0.139,40798378.303
-0.122,0.027,-0.141,40798378.307
-0.093,0.02,-0.14,40798378.311
-0.062,0.014,-0.139,40798378.315
-0.033,0.009,-0.135,40798378.319
-0.002,0.005,-0.128,40798378.323
0.036,-0.001,-0.119,40798378.327
0.073,-0.011,-0.112,40798378.331
0.103,-0.015,-0.103,40798378.335
0.126,-0.019,-0.091,40798378.339
0.148,-0.024,-0.082,40798378.343
0.171,-0.028,-0.072,40798378.347
0.194,-0.033,-0.059,40798378.351
0.217,-0.033,-0.046,40798378.355
0.242,-0.031,-0.034,40798378.359
0.271,-0.027,-0.022,40798378.363
0.287,-0.02,-0.01,40798378.367
0.289,-0.01,0.004,40798378.371
0.279,0.002,0.016,40798378.375
0.268,0.013,0.024,40798378.379
0.257,0.021,0.03,40798378.383
0.244,0.022,0.034,40798378.387
0.23,0.021,0.036,40798378.391
0.22,0.014,0.044,40798378.395
0.213,0.001,0.049,40798378.399
0.202,-0.018,0.055,40798378.403
0.184,-0.042,0.056,40798378.407
0.166,-0.071,0.054,40798378.411
0.149,-0.104,0.051,40798378.415
0.132,-0.134,0.046,40798378.419
0.114,-0.165,0.042,40798378.423
0.091,-0.197,0.041,40798378.427
