x,y,z,ts
1596.3,-176.495,-1162.179,40798611.328
1596.404,-177.015,-1161.72,40798611.332
1597.43,-176.843,-1163.257,40798611.336
1598.251,-176.705,-1164.486,40798611.340
1598.437,-177.379,-1165.469,40798611.344
1598.585,-177.919,-1166.256,40798611.348
1599.175,-176.977,-1167.973,40798611.352
1599.647,-176.223,-1169.346,40798611.356
1598.925,-176.994,-1170.445,40798611.360
1598.347,-177.611,-1171.324,40798611.364
1597.727,-177.319,-1171.347,40798611.368
1597.232,-177.086,-1171.366,40798611.372
1596.835,-176.899,-1169.614,40798611.376
1596.518,-176.75,-1168.212,40798611.380
1595.635,-176.434,-1167.091,40798611.384
1594.929,-176.181,-1166.194,40798611.388
1595.622,-177.157,-1165.068,40798611.392
1596.176,-177.937,-1164.168,40798611.396
1596.305,-177.777,-1163.448,40798611.400
1596.408,-177.648,-1162.871,40798611.404
1597.276,-178.33,-1162.954,40798611.408
1597.971,-178.876,-1163.02,40798611.412
1598.37,-178.331,-1165.656,40798611.416
1598.689,-177.895,-1167.765,40798611.420
1599.101,-178.136,-1168.772,40798611.424
1599.431,-178.328,-1169.578,40798611.428
1599.694,-177.5,-1171.038,40798611.432
1599.906,-176.838,-1172.206,40798611.436
1598.817,-177.486,-1172.597,40798611.440
1597.946,-178.004,-1172.91,40798611.444
1597.25,-177.83,-1172.072,40798611.448
1596.692,-177.691,-1171.402,40798611.452
1596.561,-177.383,-1169.779,40798611.456
1596.456,-177.137,-1168.48,40798611.460
1596.214,-177.529,-1167.033,40798611.464
1596.021,-177.842,-1165.876,40798611.468
1596.024,-178.486,-1165.086,40798611.472
1596.026,-179.0,-1164.454,40798611.476
1596.656,-178.431,-1163.948,40798611.480
1597.161,-177.975,-1163.544,40798611.484
1597.879,-178.396,-1163.628,40798611.488
1598.453,-178.732,-1163.695,40798611.492
1599.541,-179.001,-1166.196,40798611.496
1600.411,-179.216,-1168.197,40798611.500
1599.85,-179.781,-1169.253,40798611.504
1599.402,-180.233,-1170.099,40798611.508
1600.143,-179.221,-1171.591,40798611.512
1600.736,-178.411,-1172.784,40798611.516
1599.638,-178.94,-1173.06,40798611.520
1598.76,-179.364,-1173.28,40798611.524
1598.215,-179.31,-1173.048,40798611.528
1597.779,-179.268,-1172.863,40798611.532
1597.588,-178.448,-1171.355,40798611.536
1597.434,-177.793,-1170.149,40798611.540
1596.997,-178.053,-1168.776,40798611.544
1596.648,-178.262,-1167.678,40798611.548
1596.368,-178.429,-1165.984,40798611.552
1596.144,-178.562,-1164.628,40798611.556
1596.594,-178.669,-1163.952,40798611.560
1596.953,-178.755,-1163.411,40798611.564
1597.398,-179.019,-1162.978,40798611.568
1597.754,-179.231,-1162.631,40798611.572
1598.511,-178.419,-1164.122,40798611.576
1599.116,-177.769,-1165.314,40798611.580
1599.442,-178.035,-1166.131,40798611.584
1599.704,-178.247,-1166.786,40798611.588
1600.227,-178.221,-1168.668,40798611.592
1600.646,-178.199,-1170.175,40798611.596
1599.881,-178.183,-1171.515,40798611.600
1599.269,-178.169,-1172.588,40798611.604
1599.094,-178.551,-1173.31,40798611.608
1598.953,-178.856,-1173.888,40798611.612
1598.527,-178.512,-1174.078,40798611.616
1598.186,-178.236,-1174.231,40798611.620
1597.755,-178.408,-1173.129,40798611.624
1597.411,-178.546,-1172.248,40798611.628
1596.665,-178.656,-1171.271,40798611.632
1596.067,-178.744,-1170.489,40798611.636
1596.689,-178.618,-1168.505,40798611.640
1597.187,-178.517,-1166.917,40798611.644
1596.957,-178.633,-1166.055,40798611.648
1596.772,-178.726,-1165.365,40798611.652
1597.725,-179.192,-1164.541,40798611.656
1598.487,-179.566,-1163.882,40798611.660
1597.997,-179.472,-1164.307,40798611.664
1597.604,-179.397,-1164.646,40798611.668
1598.862,-179.337,-1164.782,40798611.672
1599.868,-179.289,-1164.89,40798611.676
1599.573,-179.643,-1167.016,40798611.680
1599.337,-179.926,-1168.717,40798611.684
1599.934,-179.76,-1169.398,40798611.688
1600.411,-179.627,-1169.942,40798611.692
1600.165,-179.129,-1171.737,40798611.696
1599.967,-178.73,-1173.174,40798611.700
1599.495,-178.999,-1173.915,40798611.704
1599.117,-179.215,-1174.508,40798611.708
1599.287,-178.799,-1174.438,40798611.712
1599.422,-178.466,-1174.383,40798611.716
1598.745,-178.788,-1173.658,40798611.720
1598.203,-179.046,-1173.079,40798611.724
1597.769,-179.056,-1172.344,40798611.728
1597.422,-179.064,-1171.755,40798611.732
1597.145,-178.482,-1170.333,40798611.736
1596.923,-178.016,-1169.196,40798611.740
1597.217,-178.232,-1167.606,40798611.744
1597.452,-178.405,-1166.334,40798611.748
1597.011,-178.739,-1165.452,40798611.752
1596.659,-179.007,-1164.747,40798611.756
1597.634,-178.829,-1164.047,40798611.760
1598.414,-178.686,-1163.487,40798611.764
1598.41,-179.357,-1163.31,40798611.768
1598.406,-179.893,-1163.169,40798611.772
1599.504,-179.93,-1164.008,40798611.776
1600.382,-179.96,-1164.679,40798611.780
1599.827,-179.787,-1165.896,40798611.784
1599.383,-179.649,-1166.869,40798611.788
1599.97,-179.931,-1167.783,40798611.792
1600.441,-180.157,-1168.515,40798611.796
1600.188,-179.748,-1170.732,40798611.800
1599.986,-179.422,-1172.505,40798611.804
1600.139,-178.964,-1173.244,40798611.808
1600.261,-178.598,-1173.835,40798611.812
1599.887,-178.501,-1174.579,40798611.816
1599.588,-178.424,-1175.175,40798611.820
1599.349,-178.951,-1175.108,40798611.824
1599.158,-179.373,-1175.054,40798611.828
1598.847,-178.925,-1174.332,40798611.832
1598.599,-178.567,-1173.754,40798611.836
1598.401,-179.065,-1172.34,40798611.840
1598.242,-179.464,-1171.208,40798611.844
1597.8,-179.783,-1170.439,40798611.848
1597.447,-180.038,-1169.824,40798611.852
1597.479,-179.85,-1168.244,40798611.856
1597.505,-179.699,-1166.981,40798611.860
1597.682,-179.186,-1165.426,40798611.864
1597.824,-178.775,-1164.182,40798611.868
1597.466,-179.232,-1163.731,40798611.872
1597.18,-179.598,-1163.37,40798611.876
1597.894,-178.712,-1163.217,40798611.880
1598.465,-178.004,-1163.095,40798611.884
1598.608,-178.615,-1163.133,40798611.888
1598.722,-179.104,-1163.163,40798611.892
1600.07,-179.495,-1164.275,40798611.896
1601.149,-179.808,-1165.165,40798611.900
1600.441,-180.058,-1166.692,40798611.904
1599.874,-180.258,-1167.914,40798611.908
1600.678,-180.222,-1168.891,40798611.912
1601.321,-180.193,-1169.673,40798611.916
1600.892,-179.974,-1171.658,40798611.920
1600.549,-179.798,-1173.246,40798611.924
1600.589,-180.247,-1173.837,40798611.928
1600.622,-180.605,-1174.309,40798611.932
1600.804,-179.715,-1174.823,40798611.936
1600.951,-179.002,-1175.234,40798611.940
1600.282,-179.61,-1175.291,40798611.944
1599.747,-180.096,-1175.337,40798611.948
1599.004,-179.896,-1174.83,40798611.952
1598.411,-179.736,-1174.424,40798611.956
1597.935,-179.804,-1173.556,40798611.960
1597.555,-179.859,-1172.861,40798611.964
1597.251,-179.706,-1171.625,40798611.968
1597.008,-179.584,-1170.637,40798611.972
1596.97,-179.879,-1169.574,40798611.976
1596.941,-180.115,-1168.724,40798611.980
1597.86,-180.108,-1166.957,40798611.984
1598.595,-180.102,-1165.543,40798611.988
1598.083,-179.901,-1164.683,40798611.992
1597.673,-179.74,-1163.996,40798611.996
1598.289,-179.415,-1163.582,40798612.000
1598.781,-179.155,-1163.251,40798612.004
1598.703,-179.928,-1163.258,40798612.008
1598.641,-180.547,-1163.263,40798612.012
1600.163,-181.434,-1163.675,40798612.016
1601.38,-182.144,-1164.005,40798612.020
1600.783,-182.124,-1165.085,40798612.024
1600.305,-182.107,-1165.948,40798612.028
1601.022,-182.29,-1166.639,40798612.032
1601.597,-182.436,-1167.192,40798612.036
1601.584,-181.965,-1169.129,40798612.040
1601.575,-181.587,-1170.679,40798612.044
1601.881,-181.481,-1171.375,40798612.048
1602.126,-181.397,-1171.932,40798612.052
1602.323,-181.133,-1173.057,40798612.056
1602.48,-180.922,-1173.958,40798612.060
1601.819,-181.146,-1174.814,40798612.064
1601.291,-181.325,-1175.499,40798612.068
1600.711,-181.468,-1175.639,40798612.072
1600.248,-181.582,-1175.751,40798612.076
1600.191,-181.478,-1175.705,40798612.080
1600.145,-181.394,-1175.668,40798612.084
1599.795,-181.523,-1174.958,40798612.088
1599.514,-181.627,-1174.391,40798612.092
1599.133,-181.513,-1173.393,40798612.096
1598.827,-181.422,-1172.595,40798612.100
1599.055,-181.153,-1171.005,40798612.104
1599.237,-180.938,-1169.733,40798612.108
1598.753,-181.159,-1168.987,40798612.112
1598.367,-181.335,-1168.39,40798612.116
1599.001,-181.083,-1166.962,40798612.120
1599.508,-180.882,-1165.818,40798612.124
1598.97,-180.721,-1165.176,40798612.128
1598.54,-180.593,-1164.662,40798612.132
1599.297,-181.471,-1164.115,40798612.136
1599.901,-182.174,-1163.677,40798612.140
1599.914,-182.54,-1163.87,40798612.144
1599.924,-182.832,-1164.025,40798612.148
1600.246,-183.459,-1164.013,40798612.152
1600.504,-183.96,-1164.003,40798612.156
1600.868,-183.773,-1165.219,40798612.160
1601.158,-183.622,-1166.192,40798612.164
1601.077,-183.502,-1166.698,40798612.168
1601.011,-183.406,-1167.103,40798612.172
1601.745,-183.329,-1168.922,40798612.176
1602.332,-183.268,-1170.378,40798612.180
1602.172,-184.004,-1171.814,40798612.184
1602.045,-184.592,-1172.963,40798612.188
1601.629,-184.867,-1173.61,40798612.192
1601.296,-185.087,-1174.128,40798612.196
1601.501,-184.281,-1175.63,40798612.200
1601.665,-183.637,-1176.831,40798612.204
1601.482,-183.906,-1176.569,40798612.208
1601.336,-184.122,-1176.359,40798612.212
1601.533,-183.902,-1176.735,40798612.216
1601.691,-183.726,-1177.035,40798612.220
1601.502,-184.174,-1176.188,40798612.224
1601.352,-184.532,-1175.511,40798612.228
1600.917,-185.015,-1174.833,40798612.232
1600.569,-185.402,-1174.291,40798612.236
1600.291,-184.926,-1172.769,40798612.240
1600.068,-184.545,-1171.552,40798612.244
1599.89,-184.829,-1170.307,40798612.248
1599.748,-185.056,-1169.31,40798612.252
1599.634,-185.238,-1168.105,40798612.256
1599.543,-185.384,-1167.141,40798612.260
1599.47,-185.5,-1166.506,40798612.264
1599.411,-185.593,-1165.998,40798612.268
1599.365,-185.864,-1165.047,40798612.272
1599.328,-186.081,-1164.287,40798612.276
1599.769,-186.646,-1163.951,40798612.280
1600.122,-187.099,-1163.682,40798612.284
1599.462,-186.676,-1163.874,40798612.288
1598.934,-186.338,-1164.028,40798612.292
1599.297,-186.656,-1164.152,40798612.296
1599.587,-186.91,-1164.25,40798612.300
1600.763,-187.114,-1165.552,40798612.304
1601.703,-187.277,-1166.594,40798612.308
1601.827,-187.603,-1167.156,40798612.312
1601.926,-187.865,-1167.605,40798612.316
1602.791,-188.663,-1169.46,40798612.320
1603.483,-189.301,-1170.944,40798612.324
1602.622,-189.026,-1171.859,40798612.328
1601.933,-188.807,-1172.591,40798612.332
1602.64,-188.239,-1173.313,40798612.336
1603.205,-187.784,-1173.89,40798612.340
1602.557,-187.813,-1174.624,40798612.344
1602.038,-187.836,-1175.211,40798612.348
1602.095,-187.658,-1175.68,40798612.352
1602.14,-187.516,-1176.056,40798612.356
1601.705,-187.206,-1176.492,40798612.360
1601.357,-186.958,-1176.842,40798612.364
1601.235,-187.545,-1176.577,40798612.368
1601.138,-188.014,-1176.366,40798612.372
1600.746,-188.193,-1175.653,40798612.376
1600.433,-188.336,-1175.082,40798612.380
1600.182,-188.647,-1174.082,40798612.384
1599.981,-188.896,-1173.282,40798612.388
1599.978,-188.899,-1172.642,40798612.392
1599.975,-188.901,-1172.13,40798612.396
1599.816,-188.51,-1171.041,40798612.400
1599.688,-188.198,-1170.169,40798612.404
1600.215,-188.536,-1168.792,40798612.408
1600.636,-188.807,-1167.691,40798612.412
1600.188,-188.632,-1167.354,40798612.416
1599.828,-188.491,-1167.084,40798612.420
1600.327,-188.771,-1166.324,40798612.424
1600.726,-188.995,-1165.716,40798612.428
1600.259,-189.763,-1165.502,40798612.432
1599.886,-190.377,-1165.33,40798612.436
1600.844,-191.065,-1165.193,40798612.440
1601.611,-191.616,-1165.083,40798612.444
1601.439,-191.074,-1165.403,40798612.448
1601.301,-190.641,-1165.659,40798612.452
1601.82,-191.08,-1166.0,40798612.456
1602.234,-191.431,-1166.273,40798612.460
1602.095,-190.927,-1167.714,40798612.464
1601.983,-190.523,-1168.868,40798612.468
1602.679,-190.593,-1169.11,40798612.472
1603.236,-190.649,-1169.305,40798612.476
1603.682,-191.086,-1170.684,40798612.480
1604.039,-191.436,-1171.787,40798612.484
1603.852,-191.52,-1172.941,40798612.488
1603.703,-191.586,-1173.865,40798612.492
1603.427,-191.64,-1174.196,40798612.496
1603.206,-191.683,-1174.46,40798612.500
1603.343,-190.736,-1176.031,40798612.504
1603.453,-189.978,-1177.288,40798612.508
1603.07,-190.549,-1177.478,40798612.512
1602.763,-191.007,-1177.63,40798612.516
1602.989,-189.606,-1178.16,40798612.520
1603.17,-188.485,-1178.583,40798612.524
1602.686,-188.766,-1178.514,40798612.528
1602.299,-188.991,-1178.459,40798612.532
1602.303,-189.368,-1178.279,40798612.536
1602.307,-189.669,-1178.135,40798612.540
1601.838,-189.909,-1177.476,40798612.544
1601.464,-190.102,-1176.949,40798612.548
1601.164,-190.452,-1176.391,40798612.552
1600.924,-190.733,-1175.945,40798612.556
1600.417,-190.368,-1174.5,40798612.560
1600.012,-190.076,-1173.345,40798612.564
1600.16,-189.647,-1172.284,40798612.568
1600.278,-189.303,-1171.436,40798612.572
1600.058,-189.224,-1170.35,40798612.576
1599.882,-189.162,-1169.481,40798612.580
1600.213,-188.915,-1168.377,40798612.584
1600.477,-188.718,-1167.495,40798612.588
1600.217,-188.363,-1167.061,40798612.592
1600.01,-188.08,-1166.714,40798612.596
1600.158,-188.442,-1166.3,40798612.600
1600.276,-188.732,-1165.969,40798612.604
1600.842,-188.375,-1165.704,40798612.608
1601.295,-188.09,-1165.492,40798612.612
1601.343,-188.254,-1165.323,40798612.616
1601.382,-188.385,-1165.187,40798612.620
1602.198,-188.294,-1166.03,40798612.624
1602.852,-188.221,-1166.704,40798612.628
1602.431,-188.358,-1167.244,40798612.632
1602.095,-188.469,-1167.676,40798612.636
1602.926,-188.557,-1168.429,40798612.640
1603.591,-188.627,-1169.031,40798612.644
1602.866,-189.273,-1170.057,40798612.648
1602.285,-189.789,-1170.878,40798612.652
1602.607,-190.006,-1171.398,40798612.656
1602.864,-190.179,-1171.815,40798612.660
1602.913,-189.925,-1173.507,40798612.664
1602.952,-189.722,-1174.861,40798612.668
1603.14,-189.363,-1175.537,40798612.672
1603.291,-189.076,-1176.077,40798612.676
1603.568,-188.454,-1177.053,40798612.680
1603.791,-187.957,-1177.834,40798612.684
1603.182,-187.951,-1178.323,40798612.688
1602.696,-187.946,-1178.714,40798612.692
1602.307,-187.943,-1178.618,40798612.696
1601.995,-187.94,-1178.542,40798612.700
1601.746,-187.349,-1178.617,40798612.704
1601.547,-186.876,-1178.677,40798612.708
1601.23,-186.89,-1177.774,40798612.712
1600.977,-186.902,-1177.051,40798612.716
1600.932,-186.714,-1176.065,40798612.720
1600.895,-186.565,-1175.276,40798612.724
1600.709,-186.445,-1173.694,40798612.728
1600.56,-186.349,-1172.428,40798612.732
1600.126,-186.272,-1171.551,40798612.736
1599.78,-186.211,-1170.849,40798612.740
1599.974,-185.769,-1169.336,40798612.744
1600.129,-185.416,-1168.126,40798612.748
1599.782,-185.526,-1167.43,40798612.752
1599.504,-185.614,-1166.873,40798612.756
1599.753,-185.684,-1165.883,40798612.760
1599.952,-185.741,-1165.092,40798612.764
1600.269,-185.393,-1165.002,40798612.768
1600.522,-185.115,-1164.931,40798612.772
1601.039,-185.481,-1164.33,40798612.776
1601.453,-185.775,-1163.849,40798612.780
1601.784,-185.617,-1164.416,40798612.784
1602.048,-185.49,-1164.869,40798612.788
1601.789,-185.389,-1165.504,40798612.792
1601.581,-185.308,-1166.012,40798612.796
1602.043,-184.654,-1166.69,40798612.800
1602.413,-184.132,-1167.233,40798612.804
1602.709,-183.91,-1169.298,40798612.808
1602.946,-183.732,-1170.95,40798612.812
1602.821,-183.59,-1171.728,40798612.816
1602.721,-183.476,-1172.35,40798612.820
1603.427,-182.993,-1174.072,40798612.824
1603.992,-182.606,-1175.449,40798612.828
1603.501,-182.689,-1176.143,40798612.832
1603.108,-182.756,-1176.698,40798612.836
1603.422,-182.22,-1177.55,40798612.840
1603.673,-181.792,-1178.231,40798612.844
1603.246,-182.038,-1178.504,40798612.848
1602.904,-182.234,-1178.723,40798612.852
1602.787,-181.803,-1178.762,40798612.856
1602.694,-181.458,-1178.793,40798612.860
1601.834,-181.182,-1178.138,40798612.864
1601.146,-180.961,-1177.615,40798612.868
1601.224,-181.177,-1176.652,40798612.872
1601.286,-181.35,-1175.882,40798612.876
1600.707,-180.899,-1174.722,40798612.880
1600.244,-180.538,-1173.794,40798612.884
1600.345,-180.25,-1172.508,40798612.888
1600.426,-180.019,-1171.479,40798612.892
1600.019,-180.227,-1170.52,40798612.896
1599.694,-180.394,-1169.753,40798612.900
1599.905,-180.134,-1168.867,40798612.904
1600.074,-179.927,-1168.158,40798612.908
1600.209,-179.368,-1167.184,40798612.912
1600.317,-178.921,-1166.404,40798612.916
1599.932,-179.152,-1165.916,40798612.920
1599.624,-179.337,-1165.526,40798612.924
1600.321,-179.485,-1165.214,40798612.928
1600.878,-179.604,-1164.964,40798612.932
1600.695,-179.699,-1164.628,40798612.936
1600.549,-179.774,-1164.36,40798612.940
1601.689,-179.639,-1164.688,40798612.944
1602.602,-179.53,-1164.952,40798612.948
1601.917,-179.051,-1165.842,40798612.952
1601.369,-178.667,-1166.554,40798612.956
1602.031,-178.557,-1166.988,40798612.960
1602.561,-178.469,-1167.335,40798612.964
1602.513,-178.202,-1169.243,40798612.968
1602.475,-177.988,-1170.771,40798612.972
1602.916,-178.21,-1171.312,40798612.976
1603.268,-178.387,-1171.746,40798612.980
1604.022,-178.136,-1173.18,40798612.984
1604.625,-177.936,-1174.328,40798612.988
