rssi,ts,anchor
-71,40798729.1600001,1002110040
-91,40798730.2900000,1002110003
-92,40798730.8000000,1002110029
-86,40798731.7000000,1002110010
-86,40798731.8399999,1002110083
-68,40798732.4400001,1002110035
-65,40798733.8399999,1002110035
-71,40798734.2800000,1002110076
-84,40798734.9400001,1002110047
-79,40798735.0300000,1002110077
-80,40798735.2400000,1002110033
-71,40798735.3599999,1002110014
-86,40798735.5100000,1002110040
-83,40798736.1600001,1002110012
-81,40798736.4400001,1002110077
-80,40798736.7700000,1002110014
-79,40798737.0300000,1002110013
-82,40798737.3399999,1002110016
-69,40798737.3699999,1002110035
-82,40798737.4800000,1002110083
-85,40798738.1800001,1002110042
-81,40798738.8000000,1002110032
-86,40798738.9600000,1002110012
-72,40798739.2500000,1002110077
-70,40798739.5100000,1002110032
-76,40798740.0100000,1002110015
-69,40798740.2100000,1002110032
-67,40798740.9200001,1002110032
-83,40798741.0899999,1002110017
-89,40798741.1500001,1002110073
-77,40798741.3099999,1002110055
-71,40798741.3599999,1002110077
-71,40798741.5899999,1002110033
-77,40798741.7000000,1002110014
-85,40798741.8399999,1002110040
-76,40798742.0100000,1002110055
-78,40798742.2900000,1002110033
-84,40798742.9100001,1002110057
-74,40798742.9900000,1002110033
-76,40798743.3399999,1002110030
-85,40798743.9400001,1002110023
-68,40798744.1300001,1002110055
-91,40798744.4400001,1002110032
-88,40798744.5100000,1002110042
-70,40798744.8399999,1002110055
-72,40798744.8399999,1002110076
-77,40798745.7300000,1002110057
-85,40798745.9400001,1002110062
-84,40798746.0300000,1002110017
-76,40798746.4800000,1002110078
-82,40798746.6300001,1002110054
-73,40798746.6400001,1002110014
-94,40798747.9600000,1002110035
-76,40798748.4600000,1002110015
-81,40798748.5899999,1002110016
-84,40798748.6700001,1002110035
-81,40798748.8499999,1002110017
-84,40798749.2100000,1002110028
-76,40798749.3299999,1002110033
-86,40798749.4500000,1002110054
-82,40798749.7200000,1002110018
-81,40798750.3000000,1002110073
-78,40798750.3900001,1002110030
-71,40798751.2500000,1002110029
-67,40798751.4100001,1002110016
-78,40798752.0699999,1002110057
-74,40798752.8199999,1002110016
-81,40798752.9100001,1002110063
-97,40798753.6800001,1002110054
-78,40798754.9400001,1002110016
-76,40798755.0899999,1002110014
-74,40798756.5999999,1002110017
-81,40798757.3099999,1002110017
-61,40798760.7500000,1002110062
-93,40798761.9300001,1002110057
-71,40798762.0599999,1002110063
-78,40798762.1600001,1002110062
-86,40798762.7100000,1002110033
-84,40798763.2500000,1002110022
-74,40798763.2500000,1002110026
-85,40798763.9100001,1002110029
-68,40798764.0200000,1002110028
-67,40798764.1700001,1002110063
-85,40798764.6600001,1002110026
-66,40798764.7200000,1002110028
-78,40798764.8800001,1002110063
-85,40798765.2100000,1002110020
-75,40798765.7700000,1002110017
-75,40798766.0799999,1002110019
-76,40798766.1300001,1002110028
-69,40798766.3000000,1002110063
-69,40798766.3900001,1002110062
-82,40798766.6400001,1002110018
-82,40798766.7600000,1002110022
-78,40798766.8000000,1002110066
-68,40798767.0000000,1002110063
-81,40798767.0699999,1002110014
-87,40798767.3699999,1002110025
-84,40798767.5100000,1002110066
-68,40798768.0500000,1002110018
-83,40798768.2700000,1002120003
-65,40798768.4100001,1002110063
-66,40798769.1199999,1002110063
-78,40798769.8199999,1002110063
-79,40798770.9000001,1002110025
-68,40798771.0200000,1002110026
-79,40798771.5699999,1002110020
-72,40798771.7300000,1002110026
-86,40798772.0599999,1002120007
-74,40798772.4000001,1002110024
-71,40798772.4300001,1002110026
-79,40798772.9800000,1002110018
-84,40798773.4500000,1002110062
-80,40798773.5500000,1002110023
-90,40798774.5000000,1002110056
-75,40798775.2300000,1002110024
-71,40798775.2600000,1002110066
