rssi,anchor
-48,1008110013
-77,1008110034
-77,1008110003
-45,1008110012
-58,1008110014
-66,1008110017
-77,1008110003
-73,1008110010
-74,1008110019
-74,1008110002
-77,1008110009
-79,1008110019
-71,1008110014
-75,1008110017
-69,1008110011
-63,1008110010
-71,1008110018
-77,1008110016
-73,1008110009
-62,1008110014
-67,1008110011
-68,1008110016
-59,1008110013
-79,1008110007
-81,1008110003
-66,1008110012
-72,1008110010
-60,1008110015
-74,1008110002
-65,1008110014
-66,1008110017
-47,1008110012
-69,1008110010
-65,1008110013
-77,1008110007
-79,1008110002
-65,1008110014
-62,1008110016
-71,1008110007
-55,1008110014
-69,1008110017
-72,1008110016
-76,1008110036
-65,1008110018
-59,1008110015
-67,1008110014
-51,1008110012
-75,1008110007
-58,1008110015
-71,1008110011
-75,1008110003
-51,1008110012
-77,1008110018
-82,1008110033
-60,1008110015
-67,1008110011
-62,1008110013
-61,1008110014
-58,1008110011
-81,1008110024
-75,1008120001
-71,1008110019
-80,1008110011
-47,1008110012
-79,1008110024
-77,1008110050
-75,1008110007
-63,1008110013
-77,1008110019
-59,1008110014
-63,1008110017
-75,1008110003
-68,1008110011
-63,1008110016
-77,1008110016
-77,1008110007
-86,1008110010
-62,1008110015
-82,1008110024
-75,1008110001
-59,1008110013
-62,1008110017
-46,1008110012
-54,1008110010
-80,1008120002
-53,1008110013
-58,1008110015
-79,1008110002
-77,1008110003
-68,1008110011
-79,1008110024
-67,1008110013
-53,1008110014
-70,1008110016
-75,1008110005
-53,1008110013
-72,1008110018
-60,1008110015
-73,1008110021
-72,1008110005
-55,1008110013
-54,1008110014
-56,1008110016
-71,1008110005
-57,1008110013
-78,1008110006
-51,1008110012
-56,1008110013
-81,1008110034
-60,1008110017
-74,1008110013
-62,1008110015
-68,1008110009
-50,1008110013
-59,1008110014
-63,1008110017
-76,1008110009
-79,1008110001
-73,1008120001
-55,1008110015
-79,1008110009
-76,1008110023
-54,1008110015
-58,1008110014
-71,1008110011
-76,1008110007
-57,1008110013
-63,1008110015
-59,1008110017
-61,1008110013
-46,1008110012
-78,1008110020
-78,1008110022
-76,1008110002
-75,1008110009
-57,1008110016
-65,1008110020
-53,1008110015
-62,1008110017
-58,1008110011
-78,1008120002
-73,1008110015
-45,1008110012
-76,1008110007
-72,1008110020
-62,1008110015
-59,1008110014
-57,1008110011
-77,1008110019
-70,1008110015
-58,1008110016
-65,1008110015
-59,1008110014
-70,1008110011
-70,1008110016
-75,1008110009
-67,1008110019
-65,1008110010
-52,1008110012
-76,1008110009
-80,1008110024
-77,1008110034
-58,1008110015
-71,1008110003
-46,1008110012
-59,1008110013
-73,1008110002
-61,1008110010
-46,1008110012
-74,1008110024
-72,1008110002
-68,1008110013
-68,1008120002
-72,1008110009
-54,1008110012
-75,1008110005
-56,1008110013
-76,1008110018
-59,1008110015
-67,1008110017
-74,1008110003
-72,1008110021
-77,1008110034
-72,1008110002
-66,1008110013
-78,1008110022
-56,1008110014
-64,1008110011
-47,1008110012
-60,1008110010
-46,1008110012
-76,1008110007
-71,1008110002
-80,1008110006
-62,1008110016
-79,1008110005
-75,1008110018
-76,1008110002
-65,1008110017
-72,1008110007
-68,1008110010
-77,1008110003
-45,1008110012
-79,1008110021
-74,1008110019
-68,1008110011
-63,1008110010
-76,1008110021
-58,1008110015
-74,1008110005
-72,1008110018
-75,1008110002
-67,1008110014
-65,1008110017
-71,1008120002
-51,1008110012
-73,1008110019
-58,1008110015
-65,1008110017
-55,1008110010
-65,1008110018
-72,1008110015
-85,1008110003
-73,1008110011
-44,1008110012
-57,1008110013
-76,1008110002
-76,1008110016
-56,1008110013
-72,1008110018
-59,1008110014
-47,1008110012
-60,1008110016
-61,1008110010
-54,1008110013
-77,1008110003
-43,1008110012
-82,1008110007
-59,1008110013
-48,1008110012
-77,1008110020
-79,1008110034
-56,1008110014
-63,1008110010
-78,1008110018
-77,1008110006
-72,1008120002
-66,1008110011
-59,1008110013
-62,1008110015
-56,1008110014
-47,1008110012
-73,1008110009
-61,1008110011
-60,1008110014
-50,1008110012
-71,1008110011
-81,1008110009
-57,1008110014
-59,1008110017
-60,1008110016
-75,1008120001
-68,1008110010
-68,1008110009
-64,1008110013
-69,1008110019
-80,1008110002
-43,1008110012
-63,1008110010
-73,1008110019
-58,1008110015
-51,1008110012
-62,1008110010
-66,1008110016
-76,1008120001
-78,1008110018
-81,1008120002
-59,1008110015
-61,1008110017
-59,1008110013
-59,1008110014
-48,1008110012
-62,1008110013
-76,1008110019
-74,1008110018
-80,1008110033
-72,1008110010
-78,1008110021
-58,1008110013
-81,1008110002
-68,1008110017
-70,1008110010
-76,1008110005
-80,1008120001
-70,1008110017
-76,1008120002
-43,1008110012
-55,1008110014
-47,1008110012
-44,1008110012
-74,1008110011
-55,1008110015
-73,1008110019
-82,1008110012
-65,1008110010
-73,1008110005
-70,1008110018
-56,1008110011
-78,1008110023
-73,1008110034
-63,1008110017
-62,1008110016
-57,1008110016
-56,1008110014
-79,1008110021
-64,1008110013
-57,1008110015
-80,1008110003
-62,1008110016
-58,1008110013
-57,1008110017
-69,1008110010
-52,1008110012
-71,1008110011
-76,1008110010
-69,1008110013
-55,1008110014
-51,1008110012
-64,1008110011
-47,1008110012
-61,1008110016
-57,1008110014
-82,1008110018
-51,1008110015
-54,1008110014
-54,1008110012
-69,1008110011
-49,1008110012
-61,1008110016
-80,1008110021
-68,1008110013
-53,1008110015
-55,1008110014
-50,1008110012
-71,1008110011
-59,1008110017
-46,1008110012
-52,1008110012
-74,1008110023
-54,1008110015
-56,1008110014
-68,1008110016
-52,1008110012
-75,1008110021
-75,1008110034
-71,1008110013
-50,1008110012
-67,1008110010
-55,1008110014
-67,1008110016
-75,1008110034
-69,1008110019
-54,1008110012
-66,1008110011
-78,1008110007
-57,1008110014
-67,1008110016
-78,1008110009
-76,1008110034
-77,1008110019
-60,1008110017
-50,1008110012
-74,1008110011
-73,1008110009
-45,1008110012
-62,1008110016
-67,1008110014
-58,1008110017
-52,1008110012
-60,1008110015
-54,1008110014
-72,1008110013
-57,1008110014
-62,1008110017
-56,1008110014
-61,1008110016
-65,1008110013
-63,1008110016
-57,1008110014
-49,1008110012
-71,1008110034
-51,1008110012
-75,1008110019
-77,1008110028
-61,1008110015
-63,1008110016
-69,1008110010
-79,1008110022
-61,1008110017
-52,1008110012
-66,1008110011
-52,1008110013
-67,1008110015
-52,1008110012
-71,1008110016
-62,1008110010
-77,1008110005
-61,1008110017
-40,1008110012
-77,1008110009
-56,1008110013
-62,1008110014
-71,1008120002
-69,1008110016
-77,1008110026
-56,1008110013
-77,1008110002
-63,1008110010
-57,1008110013
-56,1008110014
-67,1008110017
-61,1008110012
-61,1008110013
-81,1008110034
-75,1008110003
-69,1008110014
-67,1008110016
-74,1008110010
-56,1008110013
-83,1008120001
-82,1008110029
-70,1008110022
-80,1008110003
-73,1008110003
-65,1008110010
-75,1008110021
-64,1008110013
-71,1008110019
-57,1008110014
-58,1008110017
-65,1008110016
-78,1008110009
-70,1008110011
-63,1008110010
-80,1008110019
-61,1008110015
-61,1008110016
-54,1008110014
-60,1008110012
-74,1008110034
-61,1008110017
-62,1008110016
-69,1008110010
-58,1008110014
-50,1008110012
-68,1008110016
-72,1008110013
-70,1008110017
-75,1008110010
-72,1008110019
-55,1008110014
-53,1008110012
-76,1008110009
-77,1008110019
-67,1008110015
-79,1008110033
-76,1008110014
-61,1008110012
-74,1008110010
-78,1008110036
-58,1008110013
-77,1008120001
-57,1008110014
-63,1008110017
-73,1008110011
-55,1008110012
-61,1008110016
