rssi,anchor
-79,1007110082
-78,1007110066
-76,1007110084
-82,1007110079
-86,1007110086
-85,1007110090
-85,1007110073
-84,1007110065
-64,1007110078
-78,1007110082
-69,1007120021
-83,1007110085
-78,1007110086
-61,1007110070
-79,1007110089
-79,1007110076
-85,1007120007
-70,1007110069
-74,1007110084
-65,1007120021
-78,1007110068
-82,1007110085
-79,1007110072
-87,1007120005
-88,1007120008
-85,1007110078
-77,1007110066
-80,1007110064
-73,1007110084
-83,1007120010
-83,1007110085
-77,1007110086
-87,1007110090
-83,1007110089
-74,1007110069
-64,1007120021
-84,1007110083
-76,1007110068
-83,1007110079
-87,1007120005
-87,1007120008
-88,1007110077
-85,1007110040
-82,1007110066
-83,1007120010
-77,1007110086
-64,1007110070
-84,1007120006
-79,1007110089
-91,1007120009
-75,1007110082
-82,1007110066
-66,1007120021
-73,1007110067
-90,1007110080
-85,1007110075
-78,1007110068
-78,1007110079
-87,1007110073
-84,1007110078
-83,1007110077
-87,1007110040
-86,1007110074
-68,1007110068
-63,1007110070
-78,1007110086
-77,1007110078
-78,1007110082
-84,1007110066
-72,1007110069
-65,1007120021
-89,1007120010
-62,1007110070
-81,1007110089
-86,1007110073
-84,1007110077
-87,1007110040
-75,1007110082
-64,1007110070
-83,1007110086
-87,1007110073
-84,1007110066
-74,1007110069
-72,1007110084
-66,1007120021
-84,1007110081
-77,1007110067
-62,1007110070
-88,1007120006
-85,1007110072
-80,1007120005
-85,1007110077
-75,1007110082
-88,1007120007
-78,1007110084
-87,1007110050
-83,1007110079
-75,1007110085
-84,1007110086
-85,1007110087
-86,1007110083
-85,1007110075
-77,1007110086
-79,1007120005
-78,1007110069
-72,1007110067
-84,1007110072
-77,1007110078
-88,1007120009
-89,1007110074
-82,1007110066
-76,1007110064
-65,1007120021
-80,1007110081
-69,1007110067
-85,1007110075
-83,1007120010
-80,1007110068
-78,1007110086
-85,1007110089
-85,1007110073
-76,1007110069
-69,1007120021
-68,1007110067
-82,1007110085
-83,1007110065
-81,1007110078
-67,1007110067
-77,1007110080
-82,1007120010
-75,1007110068
-89,1007110085
-66,1007110070
-82,1007110089
-78,1007110082
-67,1007120021
-89,1007110089
-82,1007110076
-77,1007110082
-77,1007110066
-86,1007110064
-83,1007110069
-76,1007110084
-82,1007110081
-78,1007110068
-79,1007110079
-62,1007110070
-74,1007110086
-79,1007110089
-78,1007120005
-76,1007110081
-74,1007110067
-81,1007110078
-84,1007120007
-70,1007110069
-74,1007110084
-64,1007120021
-86,1007110081
-80,1007110080
-82,1007110075
-78,1007120010
-81,1007110079
-62,1007110070
-80,1007110086
-79,1007110089
-89,1007120008
-86,1007110074
-76,1007110066
-74,1007110069
-86,1007110087
-71,1007110068
-86,1007110079
-78,1007110076
-81,1007110078
-69,1007110069
-83,1007110081
-64,1007110070
-80,1007120006
-77,1007110072
-83,1007110073
-88,1007110065
-83,1007110084
-71,1007120021
-84,1007110087
-71,1007110068
-81,1007110085
-80,1007110089
-81,1007110076
-82,1007110078
-88,1007110040
-75,1007110066
-72,1007110069
-82,1007110064
-65,1007120021
-84,1007110083
-84,1007110080
-86,1007110085
-78,1007110086
-80,1007110072
-81,1007110073
-81,1007110078
-86,1007110077
-85,1007110082
-87,1007120009
-89,1007110035
-80,1007110084
-86,1007110087
-81,1007110081
-78,1007110079
-64,1007110070
-79,1007110089
-83,1007110073
-79,1007110078
-91,1007110074
-74,1007110066
-72,1007110069
-81,1007110083
-76,1007110067
-86,1007110080
-79,1007110086
-90,1007110063
-79,1007110072
-85,1007110076
-86,1007110065
-81,1007110078
-89,1007110074
-76,1007110068
-82,1007110090
-80,1007110072
-80,1007110089
-87,1007110065
-82,1007110078
-72,1007110069
-79,1007110064
-70,1007120021
-83,1007110083
-78,1007110067
-87,1007110079
-79,1007110086
-89,1007110063
-81,1007110073
-87,1007110065
-74,1007110084
-80,1007110072
-77,1007110076
-83,1007110065
-79,1007110078
-77,1007110066
-73,1007110069
-83,1007110087
-82,1007110083
-84,1007110081
-66,1007110070
-88,1007110063
-79,1007110073
-88,1007120008
-75,1007110084
-91,1007110035
-65,1007120021
-84,1007110067
-75,1007110068
-81,1007110079
-64,1007110070
-82,1007110090
-84,1007110072
-89,1007110089
-79,1007110076
-83,1007110073
-81,1007110078
-75,1007110066
-70,1007110069
-78,1007110064
-82,1007110080
-85,1007120010
-78,1007110068
-79,1007110085
-79,1007120006
-88,1007110073
-73,1007110069
-64,1007120021
-72,1007110067
-64,1007110070
-83,1007110078
-89,1007110040
-72,1007110069
-77,1007110081
-84,1007110068
-85,1007120005
-86,1007110065
-75,1007110082
-76,1007110069
